,600900.SH,600900.SH,600900.SH,600900.SH,600900.SH
,长江电力,长江电力,长江电力,长江电力,长江电力
date,open,close,high,low,volume
2014/1/2,6.3,6.28,6.31,6.26,9316026
2014/1/3,6.25,6.18,6.27,6.16,23383834
2014/1/6,6.18,6.05,6.18,5.99,27423397
2014/1/7,6,6.01,6.04,5.94,18046186
2014/1/8,6.01,5.99,6.05,5.93,17696025
2014/1/9,5.99,5.9,5.99,5.88,24545856
2014/1/10,5.88,5.96,5.97,5.88,11898058
2014/1/13,5.97,5.96,5.98,5.9,9848774
2014/1/14,5.96,6,6.04,5.95,11684448
2014/1/15,6,5.97,6,5.93,5014820
2014/1/16,5.98,5.99,6.01,5.92,15492609
2014/1/17,5.96,5.96,5.98,5.9,12046399
2014/1/20,5.94,5.96,5.99,5.88,10164217
2014/1/21,5.96,6.05,6.07,5.94,13642697
2014/1/22,6.05,6.08,6.11,6.02,13723047
2014/1/23,6.13,6.1,6.23,6.07,17712039
2014/1/24,6.1,6.11,6.15,6.06,14579987
2014/1/27,6.08,6.02,6.09,5.99,13092647
2014/1/28,6.02,5.99,6.05,5.92,24059034
2014/1/29,6,6.02,6.03,5.97,22641898
2014/1/30,6,6.03,6.04,5.96,12434554
2014/2/7,6.01,6,6.01,5.95,9242245
2014/2/10,6.02,6.07,6.07,5.99,24063756
2014/2/11,6.05,6.08,6.09,6.01,24224662
2014/2/12,6.08,6.04,6.08,6.01,15448113
2014/2/13,6.04,5.99,6.04,5.97,27492479
2014/2/14,5.98,6.01,6.03,5.98,17178194
2014/2/17,6.03,6.02,6.03,5.99,21855541
2014/2/18,6,5.94,6.01,5.93,25453818
2014/2/19,5.93,5.97,6,5.93,19660416
2014/2/20,5.97,6.06,6.08,5.96,34915016
2014/2/21,6.05,5.98,6.08,5.95,23083217
2014/2/24,5.95,5.92,5.97,5.9,17118407
2014/2/25,5.93,5.87,5.94,5.86,32649195
2014/2/26,5.85,5.86,5.92,5.83,17268698
2014/2/27,5.86,5.93,5.97,5.85,21381388
2014/2/28,5.93,5.97,6,5.85,22388204
2014/3/3,5.93,5.95,5.99,5.9,25640810
2014/3/4,5.91,5.86,5.92,5.85,23608398
2014/3/5,5.87,5.82,5.87,5.78,49405581
2014/3/6,5.8,5.76,5.81,5.73,19085416
2014/3/7,5.76,5.73,5.79,5.72,18433346
2014/3/10,5.72,5.57,5.72,5.55,28994593
2014/3/11,5.56,5.59,5.62,5.55,21528553
2014/3/12,5.59,5.64,5.65,5.54,16878671
2014/3/13,5.62,5.66,5.7,5.58,28093867
2014/3/14,5.62,5.6,5.65,5.58,18766155
2014/3/17,5.6,5.64,5.66,5.58,17247695
2014/3/18,5.64,5.67,5.7,5.61,16473863
2014/3/19,5.68,5.75,5.78,5.64,25283885
2014/3/20,5.73,5.67,5.76,5.66,13686749
2014/3/21,5.67,5.78,5.81,5.66,23688561
2014/3/24,5.78,5.81,5.82,5.75,27981297
2014/3/25,5.8,5.82,5.9,5.77,30697437
2014/3/26,5.82,5.8,5.84,5.79,13278441
2014/3/27,5.78,5.73,5.81,5.7,20108629
2014/3/28,5.73,5.79,5.82,5.7,13110728
2014/3/31,5.77,5.77,5.81,5.74,11707638
2014/4/1,5.76,5.77,5.82,5.74,8168810
2014/4/2,5.79,5.89,5.89,5.76,16409683
2014/4/3,5.89,5.82,5.92,5.82,12363695
2014/4/4,5.82,5.87,5.9,5.8,11073172
2014/4/8,5.88,5.93,5.96,5.85,19490887
2014/4/9,5.94,5.91,5.96,5.89,10932281
2014/4/10,5.91,5.98,5.99,5.89,20093807
2014/4/11,5.97,6.07,6.08,5.96,27845448
2014/4/14,6.06,6.01,6.09,5.98,11778794
2014/4/15,6,5.96,6,5.94,11391725
2014/4/16,5.96,5.98,6.06,5.96,14394350
2014/4/17,5.97,5.93,6.01,5.9,8791159
2014/4/18,5.91,5.92,5.94,5.87,9469327
2014/4/21,5.87,5.89,5.94,5.87,7082685
2014/4/22,5.9,5.89,5.91,5.86,8720455
2014/4/23,5.88,5.88,5.91,5.82,20675378
2014/4/24,5.86,5.82,5.9,5.8,9256926
2014/4/25,5.84,5.83,5.85,5.8,6642307
2014/4/28,5.85,5.79,5.89,5.74,15512434
2014/4/29,5.79,5.72,5.81,5.64,25060329
2014/4/30,5.72,5.69,5.74,5.66,17124540
2014/5/5,5.68,5.71,5.72,5.64,10270947
2014/5/6,5.71,5.71,5.73,5.7,7695068
2014/5/7,5.72,5.68,5.72,5.67,8716159
2014/5/8,5.67,5.74,5.76,5.67,10628163
2014/5/9,5.75,5.76,5.8,5.71,13493860
2014/5/12,5.77,5.85,5.87,5.76,14051540
2014/5/13,5.85,5.89,5.91,5.83,14515987
2014/5/14,5.87,5.88,5.92,5.86,6121553
2014/5/15,5.86,5.87,5.91,5.86,7375247
2014/5/16,5.89,5.92,5.94,5.86,10698962
2014/5/19,5.94,5.9,5.94,5.8,11236604
2014/5/20,5.9,5.96,5.96,5.88,10920154
2014/5/21,5.92,5.97,5.99,5.91,8278590
2014/5/22,5.97,6.04,6.09,5.94,22676220
2014/5/23,6.04,6.12,6.15,6.01,19487719
2014/5/26,6.15,6.04,6.16,6.04,10204548
2014/5/27,6.05,6.04,6.13,6.03,11316911
2014/5/28,6.05,6.1,6.12,6.01,11235102
2014/5/29,6.11,6.1,6.15,6.06,9431702
2014/5/30,6.11,6.03,6.12,5.99,23724679
2014/6/3,6.03,6.14,6.16,6.03,16843691
2014/6/4,6.1,6.07,6.13,6.03,13233694
2014/6/5,6.05,6.13,6.14,6.01,13973181
2014/6/6,6.13,6.1,6.13,6.07,9966401
2014/6/9,6.07,6.27,6.28,6.07,33917378
2014/6/10,6.26,6.26,6.3,6.21,16210362
2014/6/11,6.24,6.28,6.34,6.23,10854876
2014/6/12,6.28,6.22,6.29,6.2,7583081
2014/6/13,6.21,6.25,6.31,6.18,18433876
2014/6/16,6.22,6.26,6.29,6.21,11248677
2014/6/17,6.24,6.22,6.28,6.21,10683517
2014/6/18,6.23,6.25,6.31,6.22,10707471
2014/6/19,6.28,6.2,6.28,6.19,7637350
2014/6/20,6.19,6.15,6.23,6.14,12926796
2014/6/23,6.16,6.1,6.21,6,17628375
2014/6/24,6.09,6.11,6.12,6.06,7205774
2014/6/25,6.11,6.11,6.13,6.06,3406355
2014/6/26,6.11,6.1,6.16,6.09,7986026
2014/6/27,6.11,6.09,6.12,6.07,8876662
2014/6/30,6.09,6.22,6.35,6.07,14442581
2014/7/1,6.22,6.17,6.24,6.15,7389476
2014/7/2,6.16,6.23,6.24,6.16,8912488
2014/7/3,6.24,6.3,6.31,6.21,12002520
2014/7/4,6.32,6.32,6.34,6.3,13295952
2014/7/7,6.31,6.29,6.32,6.25,7068311
2014/7/8,6.28,6.33,6.36,6.24,14334243
2014/7/9,6.34,6.28,6.35,6.25,10452830
2014/7/10,6.26,6.28,6.32,6.24,9620941
2014/7/11,6.04,6.11,6.18,6.04,26737275
2014/7/14,6.12,6.29,6.32,6.11,33393187
2014/7/15,6.26,6.37,6.37,6.25,23045768
2014/7/16,6.36,6.39,6.43,6.33,20416327
2014/7/17,6.39,6.39,6.46,6.36,16562789
2014/7/18,6.39,6.34,6.44,6.33,17007842
2014/7/21,6.33,6.36,6.47,6.33,17155326
2014/7/22,6.34,6.42,6.46,6.34,15289268
2014/7/23,6.41,6.47,6.51,6.41,20051827
2014/7/24,6.46,6.66,6.69,6.46,42276624
2014/7/25,6.66,6.68,6.69,6.59,20169677
2014/7/28,6.7,6.73,6.74,6.6,32741575
2014/7/29,6.69,6.81,6.85,6.69,26482685
2014/7/30,6.78,6.78,6.83,6.75,18271444
2014/7/31,6.75,6.82,6.83,6.75,12705936
2014/8/1,6.79,6.86,7,6.78,21650401
2014/8/4,6.88,6.96,7,6.87,25315769
2014/8/5,6.97,6.95,7.03,6.92,12501509
2014/8/6,6.92,6.83,6.92,6.78,23864475
2014/8/7,6.81,6.74,6.85,6.7,21575877
2014/8/8,6.75,6.73,6.77,6.68,10347700
2014/8/11,6.76,6.85,6.86,6.73,11474420
2014/8/12,6.79,6.86,6.86,6.71,17279350
2014/8/13,6.85,6.8,6.85,6.7,17779682
2014/8/14,6.76,6.77,6.81,6.74,17576172
2014/8/15,6.78,6.88,6.88,6.75,22055877
2014/8/18,6.89,7.05,7.11,6.86,42956800
2014/8/19,7.04,6.98,7.1,6.85,21492308
2014/8/20,6.95,6.98,7.03,6.93,35779810
2014/8/21,6.97,7.03,7.05,6.9,15197457
2014/8/22,7.02,7.1,7.14,6.99,17266574
2014/8/25,7.07,7.1,7.13,7.05,13868054
2014/8/26,7.24,7.4,7.78,7.24,61425979
2014/8/27,7.32,7.27,7.35,7.2,18330303
2014/8/28,7.23,7.17,7.32,7.15,14433897
2014/8/29,7.2,7.45,7.47,7.19,22877221
2014/9/1,7.46,7.45,7.54,7.42,18438227
2014/9/2,7.45,7.46,7.5,7.36,29643814
2014/9/3,7.47,7.62,7.62,7.45,32620630
2014/9/4,7.61,7.68,7.7,7.55,26336838
2014/9/5,7.7,7.66,7.74,7.63,29889341
2014/9/9,7.68,7.58,7.78,7.53,24697567
2014/9/10,7.56,7.6,7.61,7.48,20669531
2014/9/11,7.6,7.56,7.67,7.51,26215136
2014/9/12,7.53,7.58,7.59,7.44,28133866
2014/9/15,7.57,7.48,7.58,7.45,23615879
2014/9/16,7.49,7.51,7.55,7.38,36859058
2014/9/17,7.5,7.58,7.59,7.46,24565888
2014/9/18,7.55,7.6,7.63,7.49,30515972
2014/9/19,7.59,7.65,7.68,7.57,18409891
2014/9/22,7.62,7.67,7.84,7.61,37503679
2014/9/23,7.66,7.67,7.71,7.64,12841425
2014/9/24,7.64,7.75,7.76,7.59,24887280
