,600031.SH,600031.SH,600031.SH,600031.SH,600031.SH
,三一重工,三一重工,三一重工,三一重工,三一重工
date,open,close,high,low,volume
2014/1/2,6.41,6.38,6.41,6.36,9087799
2014/1/3,6.34,6.29,6.39,6.26,15170003
2014/1/6,6.28,6.07,6.28,6.06,23333776
2014/1/7,6.05,6.03,6.1,5.97,13289954
2014/1/8,6.05,6.01,6.11,5.98,13680772
2014/1/9,6.01,5.95,6.06,5.94,14549487
2014/1/10,5.95,5.77,5.97,5.74,23934423
2014/1/13,5.77,5.81,5.82,5.72,12223932
2014/1/14,5.8,5.83,5.89,5.74,12892280
2014/1/15,5.83,5.78,5.87,5.77,9132989
2014/1/16,5.78,5.86,5.88,5.73,14819178
2014/1/17,5.87,5.76,5.88,5.75,15047301
2014/1/20,5.76,5.73,5.81,5.68,10362968
2014/1/21,5.74,5.77,5.81,5.73,9666536
2014/1/22,5.8,6.02,6.04,5.75,23516102
2014/1/23,6.01,5.96,6.04,5.93,13156831
2014/1/24,5.92,5.98,6.08,5.91,13652679
2014/1/27,5.96,5.96,6,5.9,10072641
2014/1/28,5.96,6,6.02,5.93,9731806
2014/1/29,5.96,5.97,6.02,5.96,7651372
2014/1/30,5.97,5.94,5.99,5.92,6026567
2014/2/7,5.92,5.9,5.92,5.82,9746293
2014/2/10,5.91,6.05,6.06,5.91,19698678
2014/2/11,6.05,6.25,6.36,6.01,42267573
2014/2/12,6.24,6.19,6.25,6.16,19252829
2014/2/13,6.19,6.11,6.19,6.1,20692143
2014/2/14,6.09,6.16,6.2,6.08,15128064
2014/2/17,6.17,6.15,6.22,6.12,20759868
2014/2/18,6.17,6.05,6.18,6.02,22389130
2014/2/19,6.03,6.1,6.15,6.02,22068816
2014/2/20,6.11,6.12,6.25,6.07,36308256
2014/2/21,6.09,5.99,6.1,5.94,26527138
2014/2/24,5.93,5.82,5.93,5.8,20573561
2014/2/25,5.82,5.7,5.86,5.68,23238204
2014/2/26,5.7,5.76,5.77,5.69,15293363
2014/2/27,5.77,5.71,5.79,5.7,16604437
2014/2/28,5.71,5.75,5.78,5.67,17568042
2014/3/3,5.72,5.78,5.78,5.7,14981466
2014/3/4,5.75,5.82,5.9,5.7,21135165
2014/3/5,5.82,5.78,5.86,5.75,13928312
2014/3/6,5.75,5.79,5.83,5.7,13880630
2014/3/7,5.78,5.73,5.81,5.71,14853166
2014/3/10,5.7,5.53,5.7,5.5,22781660
2014/3/11,5.51,5.54,5.58,5.49,13104664
2014/3/12,5.55,5.58,5.65,5.48,15727645
2014/3/13,5.58,5.62,5.71,5.52,15026993
2014/3/14,5.78,5.79,6.08,5.73,62856314
2014/3/17,5.7,5.76,5.78,5.65,21543332
2014/3/18,5.78,5.68,5.78,5.68,16495147
2014/3/19,5.68,5.61,5.68,5.57,15192790
2014/3/20,5.62,5.56,5.67,5.55,14462736
2014/3/21,5.51,5.71,5.72,5.51,23326576
2014/3/24,5.71,5.79,5.83,5.67,33046425
2014/3/25,5.75,5.75,5.82,5.73,23709266
2014/3/26,5.76,5.72,5.78,5.69,12587273
2014/3/27,5.72,5.66,5.72,5.64,22201652
2014/3/28,5.63,5.61,5.68,5.61,14603782
2014/3/31,5.61,5.56,5.66,5.51,19579884
2014/4/1,5.57,5.65,5.65,5.55,14113755
2014/4/2,5.67,5.73,5.79,5.65,25083778
