    ,601888.SH,601888.SH,601888.SH,601888.SH,601888.SH
,中国中免,中国中免,中国中免,中国中免,中国中免
date,open,close,high,low,volume
2014/1/2,34.75,34.68,34.98,34.38,2017582
2014/1/3,34.8,34.29,35.03,33.9,2438978
2014/1/6,34,33.16,34.05,32.92,2951827
2014/1/7,32.9,33.19,33.5,32.78,2757106
2014/1/8,33.52,32.43,33.52,32.3,4144823
2014/1/9,32.21,32.42,32.99,32.21,2730875
2014/1/10,32.45,34.14,34.18,32.45,5323232
2014/1/13,34.45,33.54,34.7,33.1,3733145
2014/1/14,33.4,34.91,34.98,33.36,3122494
2014/1/15,34.95,34.82,35.06,34.1,1847864
2014/1/16,34.76,34.69,35,34.43,1790886
2014/1/17,34.9,33.78,34.9,33.68,2090413
2014/1/20,33.74,34.21,34.34,33.21,1500836
2014/1/21,34.2,34.46,34.69,34,1197448
2014/1/22,34.5,34.86,35.05,34.5,3853528
2014/1/23,35.18,35.62,35.86,35.01,4852626
2014/1/24,35.4,35.38,35.82,35.33,3122553
2014/1/27,35.02,35.47,36,34.66,3827558
2014/1/28,35.5,34.86,35.92,34.82,3062099
2014/1/29,35.24,33.99,35.24,33.63,4372294
2014/1/30,33.98,33.65,33.99,33.5,1358363
2014/2/7,33.63,33.84,34.13,33.4,2959326
2014/2/10,33.9,34.39,34.47,32.75,8542992
2014/2/11,34.99,37.83,37.83,34.99,10304958
2014/2/12,38.29,38.18,39,37.5,11819814
2014/2/13,38.3,37.96,38.35,37.22,4970179
2014/2/14,37.73,38.21,38.65,37.3,5915886
2014/2/17,38.25,37.79,38.47,37.4,6874531
2014/2/18,37.83,38.07,38.65,37.65,4837611
2014/2/19,38.29,37.93,38.41,37.76,3737710
2014/2/20,37.93,37.24,38.58,37.21,4034008
2014/2/21,37.15,36.88,37.37,36.33,4198719
2014/2/24,36.42,38.5,38.6,36.16,5476272
2014/2/25,38.5,37.37,39.69,37.12,8313104
2014/2/26,37.3,37.47,38,36.02,3869163
2014/2/27,37.36,37.18,39.5,36.5,5763051
2014/2/28,37.2,37.94,38.23,37.08,3556653
2014/3/3,37.4,37.23,37.42,36.75,5235824
2014/3/4,37,36.76,37.24,35.53,7348117
2014/3/5,36.68,37.1,37.61,36.32,4881166
2014/3/6,37.05,38.06,38.18,36.78,4212471
2014/3/7,38.09,36.87,38.28,36.82,3910411
2014/3/10,36.01,35.8,36.76,35.5,2844107
2014/3/11,35.3,35.99,36.88,34.93,3111894
2014/3/12,35.6,35.22,36.4,34.99,2244303
2014/3/13,35.05,35.21,35.74,35.05,1331726
2014/3/14,35.05,34.33,35.45,34.04,2280864
2014/3/17,34.6,34.96,34.98,33.8,2068717
2014/3/18,35.2,34.87,35.38,34.74,1922455
2014/3/19,34.8,34.19,34.8,34.05,1785889
2014/3/20,34.15,34.18,34.83,34.05,3283001
2014/3/21,34.03,34.8,34.98,33.66,1815796
2014/3/24,34.81,34.98,35.2,34.55,2317772
2014/3/25,34.74,34.52,35.26,34.05,2724599
2014/3/26,34.48,34.59,34.68,34.28,875268
2014/3/27,34.59,34.2,34.67,34.08,1240751
2014/3/28,34.22,32.76,34.44,32.5,3548922
2014/3/31,32.85,33.25,33.26,32.76,1988844
2014/4/1,33.2,33.77,33.9,33.08,2036361
2014/4/2,33.8,33.29,34,33.08,2049261
2014/4/3,33.32,33.3,33.75,33.27,1384997
2014/4/4,33.3,33.81,33.85,33.2,991645
2014/4/8,33.95,34.93,35.1,33.7,4209800
2014/4/9,34.99,34.85,35.2,34.6,1631663
2014/4/10,35.38,35.75,36.09,35.38,4608835
2014/4/11,35.65,35.6,36.28,35.36,1507171
2014/4/14,35.45,35.95,36.15,35.45,2452044
2014/4/15,35.63,35.19,36,35.15,1447302
2014/4/16,35.38,34.98,35.59,34.76,1103604
2014/4/17,35,34.77,35.3,34.64,1266190
2014/4/18,34.51,34.97,35.21,34.51,1165427
2014/4/21,34.38,34.17,34.73,34.15,1574086
2014/4/22,34.36,33.86,34.36,33.4,1727341
2014/4/23,33.65,33.67,34.1,33.27,1216633
2014/4/24,33.64,33.46,33.78,33.28,791768
2014/4/25,33.7,32.84,33.7,32.78,1589367
2014/4/28,32.8,32.17,33.2,31.79,2142198
2014/4/29,32.18,32.52,32.58,32.06,1742564
2014/4/30,32.3,32.73,32.95,32.15,1218279
2014/5/5,32.37,33.25,33.39,32.37,1836731
2014/5/6,33.27,33.69,33.93,33.25,1660107
2014/5/7,33.7,33.36,33.7,33.2,859162
2014/5/8,33.3,33.16,33.8,32.91,1153549
2014/5/9,33.16,32.66,33.39,32.5,1274528
2014/5/12,32.8,32.96,33.13,32.63,1822902
2014/5/13,32.99,32.41,33.07,32.39,1703397
2014/5/14,32.54,32.41,32.68,32.31,1474816
2014/5/15,32.36,31.93,32.49,31.81,1530420
2014/5/16,32.18,32.1,32.19,31.8,850828
2014/5/19,31.98,31.01,32.14,30.61,2590282
2014/5/20,31.44,31.09,31.44,30.8,1007286
2014/5/21,30.88,31.75,31.8,30.8,2082232
2014/5/22,31.75,31.96,32.34,31.65,1775963
2014/5/23,31.94,32.09,32.2,31.75,1150446
2014/5/26,32.5,32.22,32.5,32.02,1518626
2014/5/27,32.25,31.43,32.25,31.4,2924759
2014/5/28,31.3,31.8,32.02,31.24,2398587
2014/5/29,31.9,31.4,31.99,31.38,1552539
2014/5/30,31.31,31.78,31.95,31.28,1164256
2014/6/3,31.78,31.36,31.94,31.3,1265628
2014/6/4,31.35,31.11,31.56,30.95,1081795
2014/6/5,31.1,31.31,31.4,30.9,1088935
2014/6/6,31.31,31.24,31.32,30.92,1039742
2014/6/9,31.23,31.24,31.47,31.04,1314431
2014/6/10,31.38,31.48,31.6,31.21,1365406
2014/6/11,31.45,31.71,31.83,31.3,1250867
2014/6/12,31.47,31.16,31.55,31.15,1583566
2014/6/13,31.2,31.66,31.71,31.05,2312784
2014/6/16,31.68,32.08,32.14,31.51,2691596
2014/6/17,32.01,32.04,32.17,31.7,2048520
2014/6/18,32.05,31.62,32.07,31.47,1587188
2014/6/19,31.6,31.26,31.77,31.11,1499436
2014/6/20,31.13,31.44,31.57,31.03,772964
2014/6/23,31.45,32.24,32.5,31.38,2579373
2014/6/24,31.99,31.97,32.1,31.62,1069174
2014/6/25,31.89,31.83,32.29,31.63,1101701
2014/6/26,32.08,32.18,32.36,31.83,1918181
2014/6/27,32.21,32.98,33.2,32.15,3523987
2014/6/30,33.06,33.04,33.39,32.94,2272001
2014/7/1,33.36,33.18,33.5,32.98,2241261
2014/7/2,33.18,33.25,33.47,33.02,2401135
2014/7/3,33.4,32.71,33.58,32.65,5625560
2014/7/4,32.55,32.27,32.55,31.93,3526802
2014/7/7,32.21,32.13,32.37,31.97,1610938
2014/7/8,32.07,31.15,32.08,30.93,5457912
2014/7/9,31,30.92,31.22,30.86,2969212
2014/7/10,30.93,31.04,31.16,30.92,2037245
2014/7/11,31.03,31.01,31.12,30.97,2080841
2014/7/14,31,31.43,31.5,30.9,2588797
2014/7/15,31.4,31.06,31.45,30.81,8648606
2014/7/16,31.08,31.43,31.55,30.98,5186401
2014/7/17,31.39,31.43,31.56,31.24,2206051
2014/7/18,31.34,31.22,31.36,31.08,3942506
2014/7/21,31.22,30.79,31.23,30.66,3195791
2014/7/22,30.7,30.99,31.11,30.63,2984390
2014/7/23,31,30.46,31.2,30.11,3988627
2014/7/24,30.46,30.38,30.78,30.28,3903517
2014/7/25,30.48,31.03,31.06,30.29,4723803
2014/7/28,31.03,32.2,32.37,31.03,9483323
2014/7/29,32.24,32.87,33.16,32.18,9519627
2014/7/30,32.86,33.64,34.1,32.8,9229387
2014/7/31,33.65,33.76,33.81,33.27,3121169
2014/8/1,33.76,33.49,34.08,33.45,4449855
2014/8/4,33.42,34.46,34.5,33.38,6476727
2014/8/5,34.4,35.18,35.35,34.2,5476817
2014/8/6,34.99,34.74,34.99,34.28,5368022
2014/8/7,34.65,34.75,35.28,34.5,3509231
2014/8/8,34.6,34.87,34.96,34.19,2575890
2014/8/11,34.88,35.22,35.3,34.88,3914208
2014/8/12,35.03,34.54,35.15,34.4,3803003
2014/8/13,34.54,34.67,34.74,33.97,4575394
2014/8/14,34.68,34.4,35.2,34.25,3894732
2014/8/15,34.47,35.88,36.16,34.28,3859099
2014/8/18,35.89,38.75,38.88,35.89,9530698
2014/8/19,38.65,37.92,38.65,37.3,4797209
2014/8/20,37.92,38.06,38.36,37.52,2586769
2014/8/21,38.07,37.4,38.27,37.25,4113820
2014/8/22,38.05,37.41,38.38,37.23,5231742
2014/8/25,37.59,36.97,37.77,36.68,3254543
2014/8/26,36.88,36.97,37.3,36.82,2687036
2014/8/27,37.09,36.79,37.3,36.41,3079440
2014/8/28,36.7,36.29,36.7,35.88,4443587
2014/8/29,36.35,37.48,37.68,36.35,3643008
2014/9/1,37.42,37.62,37.77,36.98,4762118
2014/9/2,37.86,37.89,38,37.31,4274822
2014/9/3,37.96,37.6,38.1,37.2,4961220
2014/9/4,37.31,38.45,38.97,37.29,7387817
2014/9/5,38.48,38.32,38.69,38.12,3320088
2014/9/9,38.32,38.35,38.72,37.8,2586774
2014/9/10,37.95,38.36,38.56,37.58,3195815
2014/9/11,38.3,38.57,39.38,38.08,5103544
2014/9/12,38.3,38.86,38.88,38.27,4637692
2014/9/15,38.89,39.92,40.08,38.5,4063635
2014/9/16,40,38.8,41.18,38.66,5527632
2014/9/17,39,38.34,39.14,37.51,5665879
