,601398.SH,601398.SH,601398.SH,601398.SH,601398.SH
,工商银行,工商银行,工商银行,工商银行,工商银行
date,open,close,high,low,volume
2014/1/2,3.58,3.58,3.59,3.56,40377049
2014/1/3,3.57,3.56,3.58,3.55,43531021
2014/1/6,3.56,3.55,3.56,3.51,69846560
2014/1/7,3.53,3.55,3.55,3.51,41238508
2014/1/8,3.54,3.57,3.58,3.53,51944377
2014/1/9,3.56,3.53,3.58,3.51,44621580
2014/1/10,3.53,3.53,3.55,3.5,41733708
2014/1/13,3.54,3.54,3.55,3.52,44410673
2014/1/14,3.53,3.52,3.53,3.5,43708009
2014/1/15,3.51,3.46,3.52,3.44,70814680
2014/1/16,3.45,3.43,3.46,3.42,77381262
2014/1/17,3.41,3.41,3.42,3.4,61018825
2014/1/20,3.41,3.4,3.42,3.38,52516508
2014/1/21,3.39,3.4,3.42,3.38,51800518
2014/1/22,3.4,3.43,3.43,3.39,78229837
2014/1/23,3.41,3.4,3.42,3.39,53203666
2014/1/24,3.4,3.4,3.41,3.39,49522632
2014/1/27,3.39,3.36,3.4,3.33,99385374
2014/1/28,3.36,3.39,3.4,3.35,50011270
2014/1/29,3.38,3.44,3.44,3.38,60262486
2014/1/30,3.43,3.41,3.44,3.4,27753040
2014/2/7,3.39,3.4,3.4,3.37,27875615
2014/2/10,3.41,3.42,3.43,3.4,49508730
2014/2/11,3.41,3.45,3.47,3.39,99157913
2014/2/12,3.44,3.44,3.45,3.43,39812519
2014/2/13,3.43,3.44,3.48,3.42,73477630
2014/2/14,3.45,3.43,3.45,3.42,35515424
2014/2/17,3.44,3.44,3.46,3.43,51404632
2014/2/18,3.44,3.43,3.45,3.42,42180520
2014/2/19,3.43,3.48,3.52,3.42,86047371
2014/2/20,3.47,3.44,3.5,3.43,55789541
2014/2/21,3.44,3.44,3.45,3.42,28834380
2014/2/24,3.42,3.37,3.42,3.36,60659215
2014/2/25,3.37,3.37,3.39,3.36,45042366
2014/2/26,3.36,3.34,3.38,3.32,40669039
2014/2/27,3.34,3.36,3.36,3.32,65181850
2014/2/28,3.35,3.34,3.35,3.32,54062832
2014/3/3,3.33,3.33,3.35,3.31,65326776
2014/3/4,3.33,3.34,3.34,3.31,51674342
2014/3/5,3.34,3.32,3.34,3.31,40622760
2014/3/6,3.32,3.33,3.34,3.3,39202882
2014/3/7,3.33,3.33,3.34,3.31,37293093
2014/3/10,3.32,3.26,3.32,3.25,66083274
2014/3/11,3.26,3.23,3.26,3.2,83643780
2014/3/12,3.22,3.23,3.23,3.2,54483174
2014/3/13,3.24,3.27,3.32,3.23,82831947
2014/3/14,3.25,3.24,3.26,3.22,53106073
2014/3/17,3.24,3.25,3.26,3.22,37925434
2014/3/18,3.26,3.26,3.27,3.24,36811648
2014/3/19,3.25,3.28,3.28,3.24,46684431
2014/3/20,3.27,3.28,3.32,3.26,62125906
2014/3/21,3.27,3.34,3.37,3.27,126470711
2014/3/24,3.35,3.38,3.39,3.34,74527859
2014/3/25,3.38,3.36,3.38,3.35,33313761
2014/3/26,3.36,3.4,3.4,3.36,50588706
2014/3/27,3.39,3.38,3.42,3.36,43623784
2014/3/28,3.39,3.46,3.49,3.38,101965982
2014/3/31,3.47,3.45,3.49,3.43,60798536
