,600406.SH,600406.SH,600406.SH,600406.SH,600406.SH
,国电南瑞,国电南瑞,国电南瑞,国电南瑞,国电南瑞
date,open,close,high,low,volume
2014/1/2,14.87,14.68,14.9,14.47,15963167
2014/1/3,14.56,14.73,14.87,14.55,11261260
2014/1/6,14.75,14.81,14.82,14.28,19290611
2014/1/7,14.9,15.5,15.86,14.9,42608176
2014/1/8,15.45,15.62,15.8,15.25,22854928
2014/1/9,15.57,15.41,15.94,15.36,17024838
2014/1/10,15.4,14.89,15.5,14.87,15245016
2014/1/13,14.86,14.99,15.24,14.7,18422164
2014/1/14,14.99,15.01,15.15,14.8,13908544
2014/1/15,15.01,15.17,15.21,14.88,14233394
2014/1/16,15.13,14.86,15.27,14.84,11203551
2014/1/17,14.76,14.33,14.96,14.18,17758746
2014/1/20,14.32,14.1,14.5,13.96,11045990
2014/1/21,14.09,14.21,14.43,14.05,8492072
2014/1/22,14.32,14.62,14.63,14.01,17324977
2014/1/23,14.58,14.54,14.75,14.49,12608981
2014/1/24,14.48,14.59,14.77,14.37,16400236
2014/1/27,14.59,14.74,14.86,14.51,13298551
2014/1/28,14.83,14.6,14.93,14.51,11977087
2014/1/29,14.67,14.53,14.68,14.4,10334171
2014/1/30,14.6,14.1,14.64,13.98,21567317
2014/2/7,14.1,14.25,14.41,13.98,14525370
2014/2/10,14.4,15.48,15.57,14.4,51479355
2014/2/11,15.41,15.23,15.58,15.11,32730356
2014/2/12,15.23,15.14,15.34,14.88,25452199
2014/2/13,15.2,15.11,15.52,14.92,28556862
2014/2/14,15.12,15.07,15.27,14.81,30475929
2014/2/17,15.12,16.01,16.18,15.12,56220157
2014/2/18,16.1,16.12,16.57,15.82,39603280
2014/2/19,16.23,16.36,16.5,15.99,33680040
2014/2/20,16.4,16.27,16.98,16.12,41106736
2014/2/21,16.35,16.18,16.56,15.8,31134945
2014/2/24,15.89,16.77,16.94,15.5,38485667
2014/2/25,17.31,16.38,17.99,16.35,69246820
2014/2/26,16.85,17.9,17.94,16.61,83609530
2014/2/27,17.88,17.63,18.99,17.4,91158790
2014/2/28,17.6,18.74,18.88,17.51,62993249
2014/3/3,19.5,18.91,19.68,18.41,54447526
2014/3/4,18.68,18.33,19.15,18.11,46116920
2014/3/5,18.5,17.82,18.51,17.65,44757233
2014/3/6,17.65,17.67,17.85,17.28,32063096
2014/3/7,17.7,18.14,18.16,17.36,41371675
2014/3/10,17.9,16.64,17.9,16.6,51271564
