,600276.SH,600276.SH,600276.SH,600276.SH,600276.SH
,恒瑞医药,恒瑞医药,恒瑞医药,恒瑞医药,恒瑞医药
date,open,close,high,low,volume
2014/1/2,37.99,39.06,39.7,37.9,7834195
2014/1/3,39.06,38.8,39.2,37.9,6557219
2014/1/6,38.47,37.49,38.47,37,6272352
2014/1/7,36.9,38.76,39.07,36.9,6859197
2014/1/8,39.25,38.79,39.25,37.99,3601408
2014/1/9,38.6,38.9,39.6,38,5748960
2014/1/10,38.8,37.74,39.3,37.7,5244960
2014/1/13,37.74,37.07,37.99,36.6,4852083
2014/1/14,37,36.81,37.58,36.26,5561046
2014/1/15,36.84,38.92,39,36.84,3913508
2014/1/16,38.8,38.06,38.9,37.93,3682400
2014/1/17,38.16,37.14,38.36,37.02,2583496
2014/1/20,37.03,36.47,37.6,35.67,4840186
2014/1/21,36.49,36.56,36.89,36.11,2862189
2014/1/22,36.65,37.35,37.37,36.26,3589380
2014/1/23,37.3,36.12,37.3,36.02,6868811
2014/1/24,36,36.51,36.85,35.8,9217791
2014/1/27,36.4,36.08,36.49,35.3,5225640
2014/1/28,36.24,36.33,36.8,35.69,6150696
2014/1/29,36.35,37.18,37.23,35.83,3985075
2014/1/30,36.95,37.47,37.74,36.62,2669560
2014/2/7,36.8,37.06,37.48,36.6,3507757
2014/2/10,37.48,37.91,38,37,5574403
2014/2/11,37.68,38.09,38.95,37.51,6811100
2014/2/12,38.01,38,38.24,37.6,4339023
2014/2/13,37.79,37.06,38.83,36.88,5568787
2014/2/14,37.08,38.17,38.4,37.05,3300414
2014/2/17,38.4,38.09,38.97,37.46,5133690
2014/2/18,37.75,36.73,37.75,36.66,5880842
2014/2/19,36.75,36.63,37.4,36,6244320
2014/2/20,36.6,36.56,37.2,36.1,3533143
2014/2/21,36.6,37.09,37.5,36.55,6060233
2014/2/24,36.8,38.6,38.75,36.8,12074688
2014/2/25,38.55,37.49,38.85,37,5872029
2014/2/26,37.6,37.28,37.6,36.31,6246360
2014/2/27,37,34.58,37.11,34.25,17773118
2014/2/28,33.95,36.11,36.65,33.7,9520266
2014/3/3,36.1,36.01,36.47,35.41,7694493
2014/3/4,36.04,34.61,36.35,34.35,7884673
2014/3/5,34.6,33.99,34.88,33.78,6981842
2014/3/6,33.9,33.66,34.38,33.31,5902583
2014/3/7,33.66,34.21,34.55,33.4,5933069
2014/3/10,34.17,34.2,34.9,33.65,5143300
2014/3/11,33.88,35.89,36.25,33.88,7727564
2014/3/12,35.8,35.64,36.77,35.41,7779379
2014/3/13,35.7,35.9,36.54,35.52,3074425
2014/3/14,35.94,35.05,35.94,34.95,2493020
2014/3/17,35.33,35.24,35.78,34.88,3749730
2014/3/18,35.3,34.59,35.3,34,6391047
2014/3/19,34.33,34.25,34.97,34.03,3651971
2014/3/20,34.3,33.42,34.45,33.33,7584244
2014/3/21,33.36,34.41,34.45,33,3735268
2014/3/24,34.1,34.27,34.49,33.71,3111834
2014/3/25,34.26,34.18,34.43,33.72,2166361
2014/3/26,34.17,34.48,34.98,34.01,2052651
2014/3/27,34.23,33.9,34.44,33.81,2316107
2014/3/28,33.8,33.05,34.19,32.8,3959987
2014/3/31,33.03,33.48,34.09,32.85,3048947
2014/4/1,33.39,33.3,33.9,32.9,4610404
2014/4/2,33.3,32.74,33.3,32.53,5908193
2014/4/3,32.92,33.17,33.33,32.7,4049717
2014/4/4,33.25,33.32,33.4,32.65,5012263
2014/4/8,33.3,34.74,35.03,33.2,7207708
2014/4/9,34.25,34.3,34.6,33.9,6580764
2014/4/10,34.3,33.97,34.66,33.72,4675745
2014/4/11,33.99,34.65,35.07,33.9,5854557
2014/4/14,34.52,34.67,35.3,34.35,3716804
2014/4/15,34.41,34.83,35.25,34.4,5552272
2014/4/16,34.91,34.8,34.93,34.3,2232147
2014/4/17,34.7,34.24,34.8,34.15,2136134
2014/4/18,34.02,34.31,34.59,34.01,1082298
2014/4/21,34.01,33.59,34.62,33.48,2740503
2014/4/22,33.59,33.34,33.85,33.18,3839163
2014/4/23,33.23,33.49,33.99,33.2,2137632
2014/4/24,33.46,33.19,33.57,33.08,1992427
2014/4/25,33.17,32.66,33.32,32.58,2880906
2014/4/28,32.61,32.31,32.96,31.98,5428053
2014/4/29,32.05,32.39,32.7,32.05,2389386
2014/4/30,32.19,33.35,33.58,32.19,4138543
2014/5/5,33.3,33.36,33.52,32.9,2767890
2014/5/6,33.06,33.58,34.05,33.01,2374784
2014/5/7,33.33,33.45,33.65,33.33,1578718
2014/5/8,33.4,33.21,33.95,33.2,2300817
2014/5/9,33.54,34.07,34.14,33.25,5390926
2014/5/12,34.14,33.85,34.29,33.67,3723938
2014/5/13,33.83,33.85,33.99,33.62,1609805
2014/5/14,33.95,34.32,34.38,33.95,3328248
2014/5/15,31.48,30.95,31.48,30.7,1936680
2014/5/16,31.1,30.9,31.56,30.72,2202609
2014/5/19,30.54,30.61,30.8,29.96,3866689
2014/5/20,30.7,30.83,31,30.4,1709745
2014/5/21,30.53,30.93,31.15,30.4,3014378
2014/5/22,30.9,31.24,31.56,30.9,2042037
2014/5/23,31.24,31.94,32.06,31.24,3702098
2014/5/26,32.48,31.6,32.48,31.56,2336561
2014/5/27,31.53,31.67,32.18,31.5,2748283
2014/5/28,31.65,31.71,31.97,31.5,1830423
2014/5/29,31.99,32.37,32.8,31.99,4498008
2014/5/30,32.5,32.39,32.54,32.19,2069135
2014/6/3,32.24,32.93,33.09,32.24,2740411
2014/6/4,33,32.35,33.09,32.2,2427891
2014/6/5,32.35,33.19,33.3,32.22,3416301
2014/6/6,33.2,32.88,33.68,32.8,4308587
2014/6/9,33.09,33.51,33.7,32.9,3230852
2014/6/10,33.3,33.62,33.75,32.96,3449361
2014/6/11,33.31,34,34.03,33.31,2893662
2014/6/12,34,33.67,34,33.58,2672359
2014/6/13,33.58,33.36,33.96,33.34,4583157
2014/6/16,33.35,33.02,33.65,32.9,4343800
