,600519.SH,600519.SH,600519.SH,600519.SH,600519.SH
,贵州茅台,贵州茅台,贵州茅台,贵州茅台,贵州茅台
date,open,close,high,low,volume
2014/1/2,127.99,125.98,127.99,125.6,2197666
2014/1/3,125.25,123.98,125.8,123.23,2334165
2014/1/6,122.88,120.73,124.9,120.7,3022921
2014/1/7,120.11,120.56,121.35,119.2,1803946
2014/1/8,120.49,119.4,121.18,118.01,3198959
2014/1/9,119,119.34,121.8,118.6,4788671
2014/1/10,119.01,119.27,120.43,118.05,2112663
2014/1/13,119.3,119.89,122.32,119.08,3764646
2014/1/14,120.2,121.31,121.79,118.9,2347499
2014/1/15,120.51,118.76,121.15,118.05,1972069
2014/1/16,118.85,121.99,122.45,118.74,3911963
2014/1/17,121.8,120.3,122.65,120.12,3236373
2014/1/20,121.9,126.79,127.3,121.02,6009063
2014/1/21,126,126.99,128.71,125.35,3540462
2014/1/22,126.98,134.17,134.81,126.3,7366781
2014/1/23,134.18,134.09,135.4,131.76,4025848
2014/1/24,133.5,135.5,135.69,132.51,3578070
2014/1/27,134.89,140.75,143.78,134.66,8351084
2014/1/28,140.51,139.22,142,137.5,3640115
2014/1/29,139.78,137.01,141.06,136.49,3152040
2014/1/30,136.5,132.2,136.95,131,3722344
2014/2/7,132.06,133.89,134.62,131.06,2386561
2014/2/10,134,132.86,134.4,130.86,3625174
2014/2/11,132.8,134.04,135.58,132.1,4300694
2014/2/12,134.2,134.15,134.97,133.31,1928348
2014/2/13,134.03,135.67,138.39,134.01,3856747
2014/2/14,135.39,142.9,143,135.39,6741037
2014/2/17,144.1,149.98,150.99,144.1,8746517
2014/2/18,149.44,147.01,149.44,146.12,3364035
2014/2/19,147.05,149.53,151.98,147.05,3148266
2014/2/20,149.5,148.99,151.58,148,2318897
2014/2/21,148,149.08,150.15,147.78,3412540
2014/2/24,149.1,147.62,151.08,145.61,3117865
2014/2/25,148,142.37,148.4,141,4627993
2014/2/26,140.56,142.03,144.98,139.05,2651394
2014/2/27,142.15,144.95,145.79,140.02,2564611
2014/2/28,145,150.02,150.8,144.95,4192617
2014/3/3,150,154.93,154.99,148.33,4881665
2014/3/4,152.12,153.4,159.29,152,5086676
2014/3/5,154.03,159.84,159.99,152,4721154
2014/3/6,160.21,162,162.3,157,4274121
2014/3/7,162,165.49,167.2,160.04,5811048
2014/3/10,164.8,156.94,165.8,154.03,4998548
2014/3/11,156,162.18,163.6,155.1,3856141
2014/3/12,161.08,158.53,163.6,155.78,3676392
2014/3/13,157.6,164.87,165.1,157.11,4263778
2014/3/14,164.06,163.87,166,161.8,2493355
2014/3/17,165,166.47,166.66,162.01,3219888
2014/3/18,168.3,171.32,176.2,168.3,5947371
2014/3/19,169.9,174.37,175,169,3536579
2014/3/20,174.3,169.18,174.5,169,3389521
2014/3/21,168.44,171.4,171.98,165.5,4031881
2014/3/24,171,171.29,175.73,169.9,2632092
2014/3/25,168.4,166.81,168.4,155.59,6240383
2014/3/26,165.1,158.49,166.11,158.36,5737639
2014/3/27,157.66,157.66,160.8,156.4,3804459
2014/3/28,157.82,152.64,158.99,151.01,4827296
2014/3/31,152.01,154.7,157.38,152,3058360
2014/4/1,154.71,162.49,162.55,154.4,3404689
2014/4/2,162.74,165.64,169.66,161.03,4669833
2014/4/3,167.56,165.31,167.69,163.5,2691848
2014/4/4,164.65,164.06,165.3,161,2320651
2014/4/8,163.92,164.54,165.42,161.01,2592749
2014/4/9,165.02,163.35,166.63,162.13,2161889
2014/4/10,163.27,169.51,171.02,159.5,5417787
2014/4/11,172,176.08,179.6,172,9022579
2014/4/14,174.7,174.36,177.31,173,2682436
2014/4/15,173.2,174.49,175.87,173.2,2588021
2014/4/16,173.7,171.02,174.56,170.19,2204062
2014/4/17,170.8,175.2,176,170.21,2974441
2014/4/18,175,175.31,177.77,173.3,1960146
2014/4/21,174.01,172.05,175.98,172,1833379
2014/4/22,172,172.13,175.13,171.52,2234496
2014/4/23,172.08,176.06,176.49,172.03,3375573
2014/4/24,176.15,175.76,176.71,173.7,1258135
2014/4/25,167.98,164.69,168,161.79,9587743
2014/4/28,162.08,162.79,164.56,159.81,3302860
2014/4/29,162.8,163.59,165.48,162.47,2799649
2014/4/30,163.95,163.88,164.29,162.53,1922066
2014/5/5,163.5,160.25,163.5,157.08,3674347
2014/5/6,160,160.79,162.7,160,1362295
2014/5/7,161.61,160.66,161.61,159.6,1196073
2014/5/8,160.8,160.67,162.49,160.42,1469786
2014/5/9,160.66,160.62,162.3,160.3,1672145
2014/5/12,162.29,160.91,162.3,159.5,2619478
2014/5/13,160.77,160.74,161.61,159.56,1593936
2014/5/14,159.99,155.27,160.93,154.01,3401655
2014/5/15,154.98,156.15,157.08,154.5,1698338
2014/5/16,156.15,155.16,157.1,154.67,1846730
2014/5/19,152.5,147.98,153,147.94,5625009
2014/5/20,148.1,144.98,149.44,143.6,4688591
2014/5/21,144.1,151,151.66,143.95,3873787
2014/5/22,150.9,150.05,153.6,149.65,1867894
2014/5/23,150,152.3,152.78,149.98,1400963
2014/5/26,154.9,153.57,154.9,152.85,891056
2014/5/27,153,153.2,155.75,152.86,1303507
2014/5/28,152.89,153.94,155,152.8,1250197
2014/5/29,153.73,154.29,155.93,153.46,1010682
2014/5/30,154.25,153.22,155.28,153.02,921765
2014/6/3,153,152.77,154.5,152.25,1304848
2014/6/4,152.99,151.15,153.38,150.02,1049431
2014/6/5,151.12,154.77,155,149.33,2067863
2014/6/6,154.68,153.59,155.65,152.29,947745
2014/6/9,152.3,153.23,154.4,152.3,1003481
2014/6/10,153.25,154.8,155.29,153.25,1930551
