,600436.SH,600436.SH,600436.SH,600436.SH,600436.SH
,片仔癀,片仔癀,片仔癀,片仔癀,片仔癀
date,open,close,high,low,volume
2014/1/2,94.11,99.64,100,94.11,1472703
2014/1/3,98.64,99.36,99.98,98,664201
2014/1/6,99.35,97.5,99.36,96.6,793096
2014/1/7,95.12,98.43,98.6,95.07,552319
2014/1/8,98.99,97.68,98.99,97,512739
2014/1/9,97.08,98.6,100.87,97.08,686447
2014/1/10,98.97,97.6,98.97,97.08,426782
2014/1/13,98.5,94.36,98.5,93.7,915193
2014/1/14,94.25,94.26,95.1,92.8,550150
2014/1/15,94.27,93.15,94.47,92.88,849683
2014/1/16,93.17,93.36,94.34,93.08,422832
2014/1/17,93.4,89.82,93.66,88.81,1314659
2014/1/20,89.03,84.69,89.04,83.33,2359345
2014/1/21,83.21,84.93,85.6,83.21,674333
2014/1/22,84.98,86.65,86.75,83.6,1335695
2014/1/23,86.71,88.42,90.33,86.7,1279510
2014/1/24,88.01,90.75,91.9,88.01,1107470
2014/1/27,90.55,88.46,90.55,87.78,800773
2014/1/28,87.98,87.91,89.2,87.5,633454
2014/1/29,88.5,85.9,88.5,85.41,1009178
2014/1/30,86,86.71,87.25,85.1,625057
2014/2/7,86.03,85.26,86.03,84.91,1207218
2014/2/10,85.27,90.94,91.02,85.27,1718000
2014/2/11,90.88,92.94,94.39,90,2135357
2014/2/12,93,92.45,94.28,91.55,1044394
2014/2/13,93.29,90.84,93.29,90.05,1413332
2014/2/14,90.84,91.69,91.89,90.1,765757
2014/2/17,92,92.08,92.68,90.9,927898
2014/2/18,92.15,90.2,92.35,90.17,887762
2014/2/19,90.76,91.79,92.28,90,868518
2014/2/20,92.01,94.9,96.5,92.01,2514624
2014/2/21,94.5,96.5,97.89,93.5,1743933
2014/2/24,96.3,92.78,96.3,92.69,1528206
2014/2/25,92.7,89.5,94.2,89.48,1536584
2014/2/26,89.4,87.17,89.4,85.89,1260266
