,600104.SH,600104.SH,600104.SH,600104.SH,600104.SH
,上汽集团,上汽集团,上汽集团,上汽集团,上汽集团
date,open,close,high,low,volume
2014/1/2,14.09,13.85,14.11,13.79,17035257
2014/1/3,13.7,13.45,13.75,13.3,31519689
2014/1/6,13.35,13.04,13.36,12.98,30556890
2014/1/7,12.99,13.14,13.26,12.91,11359405
2014/1/8,13.17,13.4,13.51,13.14,24067675
2014/1/9,13.3,13.06,13.54,13,15049866
2014/1/10,13.1,13.06,13.14,12.89,16978194
2014/1/13,12.99,13.01,13.26,12.87,15708051
2014/1/14,13.09,13.11,13.21,12.95,27787824
2014/1/15,13.05,13.2,13.21,13.02,13451034
2014/1/16,13.18,13.1,13.21,12.95,20240559
2014/1/17,13.07,12.63,13.07,12.6,34698285
2014/1/20,12.65,12.48,12.72,12.37,23120108
2014/1/21,12.53,12.68,12.75,12.52,13073519
2014/1/22,12.7,13.09,13.17,12.67,26193844
2014/1/23,13.11,13.07,13.24,13.03,20695865
2014/1/24,13.05,13.18,13.34,12.99,19463658
2014/1/27,13.07,13.07,13.22,12.94,15980804
2014/1/28,13.13,13.09,13.22,13,12249246
2014/1/29,13.19,13.09,13.21,12.96,11068008
2014/1/30,13.03,12.98,13.1,12.95,9731090
2014/2/7,12.9,12.95,12.96,12.62,16580145
2014/2/10,13.03,13.48,13.57,13.03,39720912
2014/2/11,13.6,13.52,13.72,13.4,36176519
2014/2/12,13.52,13.38,13.55,13.32,25396886
2014/2/13,13.41,13.41,13.59,13.31,28835287
2014/2/14,13.44,13.5,13.54,13.33,21075187
2014/2/17,13.58,13.7,13.77,13.45,32160681
2014/2/18,13.68,13.46,13.68,13.4,23597792
2014/2/19,13.45,13.62,13.77,13.43,27431230
2014/2/20,13.76,13.64,14.11,13.63,45384170
2014/2/21,13.63,13.56,13.88,13.43,22021646
2014/2/24,13.43,13.14,13.43,12.96,28056241
2014/2/25,13.15,12.71,13.17,12.66,37004741
2014/2/26,12.63,12.69,12.76,12.42,28638005
2014/2/27,12.72,12.65,12.99,12.61,21425102
2014/2/28,12.6,12.7,12.78,12.4,21277038
2014/3/3,12.7,12.88,12.96,12.65,24412659
2014/3/4,12.81,13.12,13.17,12.76,33715820
2014/3/5,13.17,12.86,13.26,12.81,23288180
2014/3/6,12.88,12.8,12.89,12.63,19235626
2014/3/7,12.8,12.78,12.97,12.69,15244229
2014/3/10,12.85,12.65,12.97,12.6,25169801
