,601088.SH,601088.SH,601088.SH,601088.SH,601088.SH
,中国神华,中国神华,中国神华,中国神华,中国神华
date,open,close,high,low,volume
2014/1/2,15.79,15.63,15.83,15.6,8493684
2014/1/3,15.55,15.37,15.59,15.33,12086571
2014/1/6,15.33,14.84,15.34,14.83,14097161
2014/1/7,14.75,14.82,14.98,14.72,7271915
2014/1/8,14.85,14.56,15.05,14.42,13095264
2014/1/9,14.56,14.44,14.68,14.4,8444153
2014/1/10,14.44,14.49,14.68,14.4,10494758
2014/1/13,14.49,14.56,14.63,14.44,6280489
2014/1/14,14.57,14.63,14.73,14.53,6186300
2014/1/15,14.62,14.53,14.64,14.45,5459811
2014/1/16,14.53,14.5,14.65,14.41,6740525
2014/1/17,14.45,14.23,14.49,14.22,9587515
2014/1/20,14.21,14.09,14.21,13.97,8188568
2014/1/21,14.09,14.15,14.19,14.08,4766322
2014/1/22,14.18,14.39,14.4,14.1,8436680
2014/1/23,14.4,14.25,14.42,14.25,6329619
2014/1/24,14.25,14.37,14.49,14.21,8612848
2014/1/27,14.31,14.09,14.33,14,12875083
2014/1/28,14.12,14.03,14.22,13.99,10475245
2014/1/29,14.09,14.07,14.19,14.01,6158792
2014/1/30,14.07,13.84,14.07,13.81,9406288
2014/2/7,13.91,13.96,13.98,13.86,7941493
2014/2/10,13.98,14.13,14.14,13.96,14201366
2014/2/11,14.1,14.26,14.27,14.01,26546094
2014/2/12,14.21,14.18,14.24,14.12,13295111
2014/2/13,14.16,14.04,14.18,14.03,14007553
2014/2/14,14.04,14.08,14.14,14.02,11534232
2014/2/17,14.13,14.29,14.34,14.12,21374699
2014/2/18,14.27,14.06,14.28,14.03,12818039
2014/2/19,14.07,14.26,14.33,14.01,20849097
2014/2/20,14.25,14.32,14.49,14.25,23159872
2014/2/21,14.31,14.39,14.41,14.2,16034228
2014/2/24,14.35,14.05,14.35,14,13753369
2014/2/25,14.06,13.75,14.1,13.67,14558596
2014/2/26,13.69,13.75,13.8,13.61,10476295
2014/2/27,13.75,13.75,13.79,13.58,12480095
2014/2/28,13.75,13.8,13.83,13.65,11127964
2014/3/3,13.7,13.62,13.74,13.5,15449601
2014/3/4,13.55,13.47,13.59,13.36,14481807
2014/3/5,13.48,13.56,13.72,13.47,13130758
2014/3/6,13.46,13.6,13.65,13.31,10003236
2014/3/7,13.58,13.45,13.67,13.42,9815473
2014/3/10,13.35,12.91,13.38,12.89,27129621
2014/3/11,12.91,12.85,13.02,12.66,19187893
2014/3/12,12.78,12.88,13.03,12.68,12322875
2014/3/13,12.93,13.18,13.23,12.84,16380579
2014/3/14,13.06,13.06,13.17,12.99,9727012
2014/3/17,13.18,13.12,13.22,13.01,8989676
2014/3/18,13.13,13.14,13.25,13.04,8205840
2014/3/19,13.09,13.32,13.33,13.05,10571194
2014/3/20,13.33,13.11,13.37,13.1,10109453
2014/3/21,13.1,13.52,13.65,13.09,22465273
2014/3/24,13.57,13.72,13.88,13.55,19429697
2014/3/25,13.7,13.62,13.8,13.55,9380060
2014/3/26,13.72,13.73,13.78,13.61,9582305
2014/3/27,13.7,13.57,13.76,13.46,10726127
2014/3/28,13.61,13.79,13.82,13.59,15032463
2014/3/31,13.81,13.83,13.91,13.74,17083345
2014/4/1,13.86,13.87,13.97,13.86,10147288
2014/4/2,13.93,14.17,14.18,13.89,18140812
2014/4/3,14.25,13.98,14.29,13.95,11518227
2014/4/4,13.96,14.01,14.07,13.84,9284682
2014/4/8,14.01,14.38,14.48,14.01,24073821
2014/4/9,14.43,14.57,14.68,14.4,20568358
2014/4/10,14.58,15.08,15.68,14.29,68620837
2014/4/11,15.09,15.05,15.26,14.85,45268204
2014/4/14,14.95,14.87,15.03,14.68,29928843
2014/4/15,14.8,14.51,14.85,14.45,18366055
2014/4/16,14.43,14.6,14.66,14.43,10696362
2014/4/17,14.67,14.38,14.67,14.37,9499528
2014/4/18,14.3,14.35,14.5,14.21,13008661
2014/4/21,14.24,14.15,14.42,14.13,9568594
2014/4/22,14.12,14.13,14.2,13.98,8362920
2014/4/23,14.13,14.04,14.13,13.98,8102349
2014/4/24,14.07,14.11,14.18,14,7195484
2014/4/25,14.28,14.06,14.28,14.04,6785352
2014/4/28,13.98,14.05,14.19,13.97,9680779
2014/4/29,14.02,14.16,14.25,14.02,10842142
2014/4/30,14.16,14.21,14.28,14.13,7813871
2014/5/5,14.2,14,14.24,13.81,15993727
2014/5/6,13.95,13.79,14,13.77,10639254
2014/5/7,13.75,13.86,13.97,13.71,9424312
2014/5/8,13.85,13.99,14.27,13.81,12677645
2014/5/9,14.09,14.12,14.14,14.01,7637677
2014/5/12,14.19,14.78,14.99,14.09,51581988
2014/5/13,14.67,14.44,14.79,14.34,21658752
2014/5/14,14.45,14.51,14.64,14.32,17547687
2014/5/15,14.41,14.56,14.58,14.35,13931380
2014/5/16,14.55,14.4,14.55,14.36,9249150
2014/5/19,14.38,14.18,14.38,14.07,7340968
2014/5/20,14.24,14.17,14.32,14.15,4673420
2014/5/21,14.04,14.29,14.38,14.02,9809768
2014/5/22,14.25,14.31,14.47,14.2,10732875
2014/5/23,14.36,14.37,14.41,14.26,4356888
2014/5/26,14.49,14.39,14.58,14.37,7540237
2014/5/27,14.38,14.37,14.41,14.31,5387573
2014/5/28,14.36,14.39,14.42,14.21,8029263
2014/5/29,14.39,14.35,14.4,14.32,6342646
2014/5/30,14.32,14.32,14.35,14.27,7841855
2014/6/3,14.31,14.33,14.47,14.3,5948013
2014/6/4,14.37,14.24,14.37,14.14,6961674
2014/6/5,14.24,14.38,14.41,14.17,4020096
2014/6/6,14.38,14.33,14.42,14.28,12764223
2014/6/9,14.28,14.34,14.41,14.25,7213743
2014/6/10,14.34,14.38,14.41,14.29,11322883
2014/6/11,14.39,14.42,14.47,14.33,9663936
2014/6/12,14.37,14.36,14.47,14.28,5755135
2014/6/13,14.34,14.4,14.51,14.33,10005695
2014/6/16,14.46,14.57,14.59,14.41,11161996
2014/6/17,14.57,14.49,14.61,14.48,7472257
2014/6/18,14.45,14.5,14.56,14.43,7776976
2014/6/19,14.5,14.52,14.8,14.42,15759135
2014/6/20,14.5,14.52,14.64,14.49,6038243
2014/6/23,14.52,14.57,14.74,14.52,8202749
2014/6/24,14.58,14.6,14.65,14.49,4878610
2014/6/25,14.58,14.59,14.68,14.48,7512131
2014/6/26,14.59,14.68,14.7,14.59,6878709
2014/6/27,14.65,14.45,14.69,14.44,9674362
2014/6/30,14.5,14.54,14.64,14.5,7813221
2014/7/1,14.62,14.51,14.62,14.46,6415059
2014/7/2,14.53,14.68,14.79,14.53,12177112
2014/7/3,14.67,14.68,14.73,14.57,9409972
2014/7/4,14.74,14.75,14.78,14.65,9904724
2014/7/7,14.76,14.77,14.82,14.7,7635593
2014/7/8,14.75,14.8,14.82,14.67,6932639
2014/7/9,14.8,14.64,14.83,14.58,9927236
2014/7/10,14.64,14.71,14.78,14.64,8734060
2014/7/11,14.72,14.78,14.83,14.71,15641641
2014/7/14,13.94,13.84,13.94,13.68,18016926
2014/7/15,13.81,13.8,13.89,13.75,9752911
2014/7/16,13.79,13.85,13.89,13.76,13054095
2014/7/17,13.88,13.76,13.88,13.75,7873233
2014/7/18,13.75,13.7,13.82,13.67,8979904
2014/7/21,13.71,13.62,13.73,13.45,10188149
2014/7/22,13.59,13.77,13.84,13.52,11838732
2014/7/23,13.77,13.88,14.03,13.76,15902218
2014/7/24,13.9,14.3,14.41,13.9,35061558
2014/7/25,14.3,14.76,14.83,14.22,34071584
2014/7/28,14.82,15.3,15.67,14.81,44376737
2014/7/29,15.31,15.07,15.45,15.03,26281106
2014/7/30,15.09,15.13,15.55,15.08,32953255
2014/7/31,15.13,15.37,15.44,15.08,17640456
2014/8/1,15.33,15.69,16.09,15.24,54080001
2014/8/4,15.73,16.1,16.16,15.61,32343153
2014/8/5,16.07,15.85,16.17,15.78,26369638
2014/8/6,15.79,15.76,16,15.46,19297779
2014/8/7,15.76,15.4,15.86,15.31,25399967
2014/8/8,15.39,15.47,15.54,15.32,9010516
2014/8/11,15.5,15.78,15.81,15.41,15854306
2014/8/12,15.73,15.62,15.79,15.5,13613603
2014/8/13,15.64,15.64,15.78,15.47,24156775
2014/8/14,15.59,15.5,15.69,15.41,15023421
2014/8/15,15.5,15.49,15.58,15.34,18859923
2014/8/18,15.49,15.47,15.65,15.37,15515223
2014/8/19,15.45,15.51,15.63,15.4,15044029
2014/8/20,15.44,15.33,15.46,15.3,14317970
2014/8/21,15.33,15.12,15.35,14.93,22319220
2014/8/22,15.11,15.15,15.23,15.04,11633843
2014/8/25,15.1,14.87,15.11,14.82,14680376
2014/8/26,14.86,14.83,14.95,14.8,12205223
2014/8/27,14.81,14.87,14.93,14.81,7892853
2014/8/28,14.91,14.85,15.02,14.82,9540259
2014/8/29,14.92,15.04,15.06,14.81,7728561
2014/9/1,15.09,15.05,15.18,15.01,11205879
2014/9/2,15.14,15.21,15.23,14.97,15154481
2014/9/3,15.21,15.44,15.45,15.18,16624763
2014/9/4,15.48,15.52,15.55,15.39,17473556
2014/9/5,15.6,15.69,15.7,15.54,20398438
2014/9/9,15.7,15.7,15.81,15.63,14463279
2014/9/10,15.65,15.41,15.67,15.35,15206707
2014/9/11,15.45,15.34,15.57,15.28,16604856
2014/9/12,15.3,15.39,15.39,15.26,10087089
2014/9/15,15.39,15.46,15.54,15.31,19243581
2014/9/16,15.47,15.21,15.55,15.2,19768402
2014/9/17,15.3,15.24,15.39,15.2,12064015
2014/9/18,15.22,15.25,15.36,15.12,13586498
2014/9/19,15.26,15.32,15.35,15.15,10171104
2014/9/22,15.24,15.03,15.29,15,13061202
2014/9/23,15.1,15.11,15.16,15.01,8579803
2014/9/24,15.04,15.44,15.48,15.02,22042434
2014/9/25,15.55,15.42,15.58,15.34,18135367
2014/9/26,15.4,15.43,15.5,15.3,12178815
2014/9/29,15.48,15.47,15.52,15.35,18810601
2014/9/30,15.61,15.56,15.83,15.52,39345211
2014/10/8,15.59,15.4,15.6,15.3,23888709
2014/10/9,15.41,15.45,15.54,15.39,23079178
2014/10/10,15.51,15.36,15.68,15.29,37927471
2014/10/13,15.36,15.41,15.46,15.14,25104403
2014/10/14,15.4,15.22,15.4,15.17,16376211
2014/10/15,15.19,15.18,15.23,15.06,15918618
2014/10/16,15.12,15.08,15.27,15.04,18547507
2014/10/17,15.1,14.81,15.15,14.77,27790824
2014/10/20,14.83,14.87,14.89,14.74,12996032
2014/10/21,14.87,14.83,14.97,14.81,11604946
2014/10/22,14.83,14.84,14.95,14.81,11619608
2014/10/23,14.92,14.58,14.92,14.57,16237959
2014/10/24,14.61,14.56,14.67,14.53,10780245
2014/10/27,14.51,14.3,14.51,14.22,11961080
2014/10/28,14.35,14.56,14.58,14.28,13900357
2014/10/29,14.63,14.77,14.9,14.56,19455426
2014/10/30,14.78,14.72,14.94,14.68,26078864
2014/10/31,14.72,15.15,15.16,14.71,38330333
2014/11/3,15.21,15.06,15.25,15.01,25668454
2014/11/4,15.01,15.31,15.5,14.94,41267957
2014/11/5,15.25,15.24,15.51,15.11,31719420
2014/11/6,15.3,15.25,15.36,15.11,23997933
2014/11/7,15.15,15,15.31,14.9,37390450
2014/11/10,15.17,15.34,15.35,15.06,38952063
2014/11/11,15.38,15.41,15.77,15.25,65214268
2014/11/12,15.4,15.53,15.57,15.35,36443897
2014/11/13,15.57,15.41,15.61,15.33,40463306
2014/11/14,15.45,15.49,15.54,15.33,43079580
2014/11/17,15.92,15.39,15.95,15.36,50001401
2014/11/18,15.37,15.11,15.38,15.06,33122539
2014/11/19,15.03,14.9,15.08,14.88,24029526
2014/11/20,14.88,14.89,14.98,14.82,20087652
2014/11/21,14.84,15.03,15.05,14.83,24200809
2014/11/24,15.13,15.44,15.52,15.13,55266944
2014/11/25,15.43,15.59,15.64,15.38,44531621
2014/11/26,15.64,15.64,15.67,15.4,44575825
2014/11/27,15.72,15.95,16.15,15.66,79524914
2014/11/28,15.99,15.99,16,15.57,78753453
2014/12/1,16.07,16.35,17.15,16.07,116392203
2014/12/2,16.41,16.8,16.97,16.16,102216424
2014/12/3,16.84,17.17,17.72,16.84,125671624
2014/12/4,17.35,18.58,18.71,17.34,146023622
2014/12/5,18.71,17.95,18.76,17.41,155543604
2014/12/8,17.8,18.75,18.9,17.5,133505540
2014/12/9,18.47,17.52,19.49,17.35,166673201
2014/12/10,17.57,17.89,17.96,17.32,79722228
2014/12/11,17.62,17.62,18.17,17.43,80078259
2014/12/12,17.71,17.61,17.86,17.51,55321139
2014/12/15,17.58,17.33,17.58,17.12,62390313
2014/12/16,17.25,17.85,17.91,17.15,89088358
2014/12/17,17.85,17.68,17.98,17.42,81297328
2014/12/18,17.8,18,18.09,17.69,87567154
2014/12/19,17.89,18.98,19.4,17.68,144534323
2014/12/22,19.31,20.28,20.76,19.31,183209435
2014/12/23,20,19.12,20.01,18.94,93525803
2014/12/24,19.2,18.29,19.32,18.01,84156741
2014/12/25,18.35,18.85,18.87,18.33,65992456
2014/12/26,18.8,19.4,19.48,18.67,72044181
2014/12/29,19.66,19.39,20.5,19.01,105700963
2014/12/30,19.7,19.8,20.1,19.31,87708792
2014/12/31,19.84,20.29,20.38,19.65,93831505
2015/1/5,20.32,22.32,22.32,20.32,134852821
2015/1/6,23.16,22.86,24.24,22.59,259963534
2015/1/7,22.22,22.86,23.09,22.02,125097113
2015/1/8,22.7,22.37,23.5,22.1,122192239
2015/1/9,22,21.56,22.69,21.44,129945861
2015/1/12,21.36,20.83,21.42,20.72,82626489
2015/1/13,20.73,20.7,21.09,20.53,54346699
2015/1/14,20.73,20.54,21.02,20.38,50003830
2015/1/15,20.71,21.49,21.5,20.5,71341998
2015/1/16,21.59,21.68,22.3,21.52,79498924
2015/1/19,20.5,19.51,20.59,19.51,109754572
2015/1/20,19.25,19.57,19.75,19.16,90997322
2015/1/21,19.55,20.4,20.47,19.31,100480707
2015/1/22,20.5,20.44,20.95,20.16,87669844
2015/1/23,20.69,20.16,20.8,20.06,74310857
2015/1/26,20.08,20.27,20.28,19.82,51904306
2015/1/27,20.21,19.79,20.37,19.5,63554286
2015/1/28,19.62,19.47,19.82,19.37,43443721
2015/1/29,19.16,19.36,19.6,19.08,43613488
2015/1/30,19.49,19.05,19.6,19.02,41707761
2015/2/2,18.7,18.53,18.95,18.51,41114312
2015/2/3,18.9,19.13,19.15,18.56,41333842
2015/2/4,19.27,18.97,19.53,18.95,46132713
2015/2/5,19.39,18.56,19.46,18.55,46637403
2015/2/6,18.3,17.92,18.31,17.7,59751354
2015/2/9,17.9,17.83,18.14,17.72,43129325
2015/2/10,17.85,18.21,18.3,17.85,36192826
2015/2/11,18.18,18.28,18.45,18.13,26051437
2015/2/12,18.23,18.29,18.34,17.93,23752162
2015/2/13,18.39,18.43,18.64,18.29,45193321
2015/2/16,18.48,18.4,18.48,18.25,35551608
2015/2/17,18.42,18.39,18.47,18.3,39864695
2015/2/25,18.37,17.94,18.38,17.79,57781784
2015/2/26,17.89,18.56,18.63,17.74,69838349
2015/2/27,18.48,18.6,18.8,18.4,53692694
2015/3/2,18.69,18.9,19,18.47,59450624
2015/3/3,18.76,18.17,18.76,18.1,71234475
2015/3/4,18.25,18.31,18.42,18.1,39717020
2015/3/5,18.11,17.91,18.2,17.78,51508125
2015/3/6,17.89,18.07,18.25,17.78,48486306
2015/3/9,17.9,18.25,18.28,17.5,61519129
2015/3/10,18.13,18.04,18.3,18.01,51209869
2015/3/11,18,17.84,18.18,17.69,62477750
2015/3/12,17.92,18.36,18.38,17.78,79113731
2015/3/13,18.38,18.7,19.11,18.36,102639044
2015/3/16,18.7,18.89,18.93,18.53,77577897
2015/3/17,18.94,19.04,19.15,18.83,108652752
2015/3/18,19.1,19.65,19.66,19.1,116035070
2015/3/19,19.68,19.75,20.08,19.51,109727069
2015/3/20,19.68,19.66,19.87,19.46,81431885
2015/3/23,19.86,19.99,20.12,19.71,92022948
2015/3/24,20.04,19.66,20.17,19.28,109423516
2015/3/25,19.63,19.23,19.63,19.15,102047215
2015/3/26,19.23,19.62,19.77,19.09,96693211
2015/3/27,19.68,19.73,19.98,19.6,87449438
