,600438.SH,600438.SH,600438.SH,600438.SH,600438.SH
,通威股份,通威股份,通威股份,通威股份,通威股份
date,open,close,high,low,volume
2014/1/2,8.92,8.83,8.92,8.75,5301734
2014/1/3,8.83,8.61,8.88,8.55,5586772
2014/1/6,8.52,8.8,8.83,8.24,6458309
2014/1/7,8.75,8.66,8.98,8.52,4700067
2014/1/8,8.68,9.09,9.09,8.68,10491805
2014/1/9,8.99,9.09,9.17,8.96,5000611
2014/1/10,9.09,9.01,9.16,8.74,5997270
2014/1/13,9.2,8.72,9.28,8.61,8491352
2014/1/14,8.71,8.9,8.91,8.52,5877845
2014/1/15,8.9,9.22,9.3,8.75,9605550
2014/1/16,9.22,9.23,9.35,9.04,5785843
2014/1/17,9.23,9.2,9.34,9.11,5002179
2014/1/20,9.2,8.94,9.28,8.84,6984997
2014/1/21,8.92,9.08,9.14,8.76,4970337
2014/1/22,9.08,8.97,9.13,8.9,6140527
2014/1/23,8.96,8.99,9.09,8.75,8929173
2014/1/24,8.92,8.99,9.03,8.74,7471320
2014/1/27,8.94,9.2,9.26,8.84,7621598
2014/1/28,9.18,9.03,9.18,8.89,4891301
2014/1/29,9.03,8.97,9.07,8.78,5858399
2014/1/30,8.88,8.93,8.97,8.8,2435343
2014/2/7,8.86,8.79,8.86,8.64,3449852
2014/2/10,8.75,8.9,8.94,8.71,5154843
2014/2/11,8.9,8.67,8.95,8.58,7889842
2014/2/12,8.67,9.18,9.25,8.61,11142790
2014/2/13,9.2,9.2,9.26,8.99,8806141
2014/2/14,9.19,9.8,9.85,9.14,16019294
2014/2/17,9.8,9.92,10.23,9.62,13078638
2014/2/18,9.93,9.88,10.14,9.74,5729211
2014/2/19,9.86,9.95,10,9.8,4667217
2014/2/20,9.95,9.85,10.29,9.79,9303468
2014/2/21,9.78,9.82,9.92,9.65,3994276
2014/2/24,9.75,9.77,9.9,9.5,5276374
2014/2/25,9.7,9.37,9.85,9,6305959
2014/2/26,9.2,9.31,9.39,9.02,4165555
2014/2/27,9.31,9.09,9.42,9.06,4326247
2014/2/28,9.05,9.17,9.23,9,5410489
2014/3/3,9.15,9.25,9.4,9.1,4716190
2014/3/4,9.18,9.3,9.34,9.1,2480498
2014/3/5,9.32,9.69,9.76,9.32,6786185
2014/3/6,9.68,9.55,9.68,9.37,4839085
2014/3/7,9.48,9.29,9.62,9,6099456
2014/3/10,9.32,9.25,9.44,9,5542771
2014/3/11,9.25,9.32,9.59,9.12,4205926
2014/3/12,9.32,9.04,9.32,8.63,6641203
2014/3/13,8.99,9,9.13,8.83,2543797
2014/3/14,8.93,8.85,8.93,8.63,2527894
2014/3/17,8.65,8.98,9,8.65,1751068
2014/3/18,8.98,8.96,9.15,8.93,2193854
2014/3/19,8.99,8.97,9.02,8.8,2394113
2014/3/20,8.84,8.73,8.93,8.7,1727166
2014/3/21,8.65,8.78,8.84,8.56,2151819
2014/3/24,8.79,9,9.05,8.75,2904568
2014/3/25,8.97,8.95,9.06,8.79,2680439
2014/3/26,8.9,9.03,9.05,8.87,2001819
2014/3/27,9.02,8.96,9.04,8.9,1492330
2014/3/28,8.9,8.82,9,8.71,1970853
2014/3/31,8.74,8.59,8.78,8.25,4885620
2014/4/1,8.57,8.59,8.6,8.45,1560338
2014/4/2,8.6,8.55,8.7,8.47,1393344
2014/4/3,8.52,8.54,8.59,8.46,1312563
2014/4/4,8.53,8.58,8.6,8.36,1300555
2014/4/8,8.6,8.65,8.67,8.49,2065803
2014/4/9,8.65,8.94,8.97,8.55,3344146
2014/4/10,8.92,8.98,9.08,8.9,3243327
2014/4/11,8.97,9,9.03,8.9,1648982
2014/4/14,8.98,9.29,9.31,8.92,4207839
2014/4/15,9.28,9.27,9.43,9.21,4827107
2014/4/16,9.23,9.04,9.36,9,3130278
2014/4/17,9.07,9.1,9.2,9.01,2136639
2014/4/18,9.07,9.09,9.16,8.98,1519671
2014/4/21,9.01,9.18,9.37,9,3860970
2014/4/22,9.14,9.27,9.29,9.04,1639924
2014/4/23,9.27,9.25,9.33,9.1,1611948
2014/4/24,9.13,9.18,9.24,9.1,1241878
2014/4/25,9.1,8.83,9.23,8.69,2324033
2014/4/28,8.69,7.95,8.69,7.95,5697103
2014/4/29,7.89,8.04,8.16,7.75,3959083
2014/4/30,8.04,8.14,8.18,7.94,2055362
2014/5/5,8.14,8.24,8.27,8,2613485
2014/5/6,8.2,8.54,8.81,8.19,3525983
2014/5/7,8.52,8.25,8.57,8.18,1574240
2014/5/8,8.3,8.29,8.36,8.12,1442685
2014/5/9,8.2,8.05,8.24,7.97,1468797
2014/5/12,8.15,8.32,8.35,8.02,2680236
2014/5/13,8.29,8.43,8.56,8.26,2288250
2014/5/14,8.49,8.48,8.62,8.47,1265072
2014/5/15,9.1,8.78,9.33,8.7,7387009
2014/5/16,8.6,8.78,8.8,8.38,3636019
2014/5/19,8.55,8.94,9.01,8.55,3066016
2014/5/20,8.96,8.91,9.08,8.91,2481594
2014/5/21,8.92,9.18,9.3,8.92,5033741
2014/5/22,9.17,9.13,9.27,9.08,2434981
2014/5/23,9.16,9.05,9.16,8.94,1952619
2014/5/26,9.06,9.1,9.23,9.02,2204078
2014/5/27,9.05,8.99,9.09,8.91,2288959
2014/5/28,8.96,8.9,9,8.8,2072409
2014/5/29,8.88,8.86,8.95,8.8,1456970
2014/5/30,8.81,8.87,8.94,8.8,1173253
2014/6/3,8.87,9.17,9.22,8.84,4121857
2014/6/4,9.26,9.04,9.26,8.92,3111566
2014/6/5,9.04,9.2,9.25,9.04,4001313
2014/6/6,9.21,9.27,9.32,9.17,4184474
2014/6/9,9.21,9.49,9.59,9.21,6970784
2014/6/10,9.48,9.5,9.56,9.3,3405315
2014/6/11,9.44,9.32,9.52,9.28,3293365
2014/6/12,9.31,9.29,9.4,9.19,1830920
