,600309.SH,600309.SH,600309.SH,600309.SH,600309.SH
,万华化学,万华化学,万华化学,万华化学,万华化学
date,open,close,high,low,volume
2014/1/2,20.65,20.34,20.88,20.28,7758532
2014/1/3,20.1,19.84,20.29,19.8,8185584
2014/1/6,19.78,19,19.92,18.99,10444365
2014/1/7,18.95,19.12,19.48,18.83,9506732
2014/1/8,19.23,18.97,19.43,18.85,7679358
2014/1/9,18.97,18.65,19.28,18.5,9083399
2014/1/10,18.6,18.68,18.89,18.4,8747761
2014/1/13,18.7,18.28,18.79,17.96,9304278
2014/1/14,18.26,18.45,18.53,17.85,7380724
2014/1/15,18.5,18.64,18.77,18.44,6862355
2014/1/16,18.66,19.17,19.33,18.4,13153984
2014/1/17,19.2,18.79,19.25,18.46,7764691
2014/1/20,18.79,18.48,19,18.3,5815576
2014/1/21,18.5,18.57,19,18.34,11414377
2014/1/22,18.61,19.63,19.7,18.4,13351730
2014/1/23,19.6,19.56,19.75,19.22,10891394
2014/1/24,19.41,19.6,20.07,19.4,8256536
2014/1/27,19.46,19.58,19.96,19.19,6593127
2014/1/28,19.65,20.09,20.18,19.54,7805484
2014/1/29,20.09,20.28,20.74,20,10853802
2014/1/30,20.22,19.78,20.24,19.67,4386631
2014/2/7,19.5,19.74,19.76,19.12,6724496
2014/2/10,19.71,20.36,20.45,19.6,10920363
2014/2/11,20.36,19.98,20.4,19.9,8805165
2014/2/12,19.95,20.07,20.41,19.88,6171072
2014/2/13,20.02,19.5,20.12,19.48,12957683
2014/2/14,19.51,19.6,19.7,19.2,8262468
2014/2/17,19.67,19.58,19.89,19.44,12563140
2014/2/18,19.58,19.11,19.6,18.92,11866837
2014/2/19,19.11,19.3,19.33,18.97,10418098
2014/2/20,19.26,19.11,19.52,19.08,6406568
2014/2/21,19.11,18.99,19.25,18.87,5735330
2014/2/24,18.85,18.04,18.85,17.9,27434256
2014/2/25,18.08,17.52,18.14,17.09,27666834
2014/2/26,17.16,17.28,17.35,16.7,31456935
2014/2/27,17.33,17.24,17.68,16.91,21676776
2014/2/28,17.3,17.52,17.6,16.61,26785638
2014/3/3,17.5,17.61,17.78,17.29,10966194
2014/3/4,17.38,17.27,17.5,16.99,14888644
2014/3/5,17.15,17.35,17.53,17.15,7911046
2014/3/6,17.25,17.37,17.5,16.93,9738934
2014/3/7,17.21,17.64,17.71,17.16,10933981
2014/3/10,17.45,17.07,17.45,16.9,9829181
2014/3/11,17.15,16.81,17.15,16.51,11705740
2014/3/12,16.61,16.82,16.95,16.59,7204980
2014/3/13,16.74,16.96,17.13,16.74,5247301
2014/3/14,16.83,17.22,17.3,16.65,7411000
2014/3/17,17.26,17.39,17.6,17.17,6050601
2014/3/18,17.44,17,17.5,16.75,16848205
2014/3/19,16.77,16.56,16.92,16.45,12606093
2014/3/20,16.47,16.43,16.7,16.35,9159203
2014/3/21,16.21,16.95,17,16.07,13666681
2014/3/24,16.79,16.91,17.07,16.73,6995647
2014/3/25,16.75,16.83,16.93,16.65,5807328
2014/3/26,16.85,16.92,17.15,16.82,6268930
2014/3/27,16.84,16.92,17.2,16.79,6437964
2014/3/28,16.92,17.21,17.45,16.85,12368211
2014/3/31,17.35,17.47,17.65,17.2,11798530
2014/4/1,17.51,18.01,18.09,17.35,17606594
2014/4/2,17.99,18.03,18.08,17.67,9871101
2014/4/3,18.03,17.68,18.03,17.59,7860769
2014/4/4,17.58,17.85,17.99,17.37,8513763
2014/4/8,17.75,18.06,18.4,17.68,13951048
2014/4/9,18.05,17.98,18.23,17.93,6550204
2014/4/10,18.02,18.11,18.23,17.89,8733377
2014/4/11,18.12,17.51,18.12,17.51,21111633
2014/4/14,17.5,17.19,17.65,16.98,21030887
2014/4/15,17.19,17.23,17.24,17,12911611
2014/4/16,17.19,17.1,17.22,16.99,7594423
2014/4/17,17.15,17.01,17.28,16.98,9947161
2014/4/18,16.96,17.02,17.09,16.68,9228538
2014/4/21,16.9,16.85,17.09,16.75,6101779
2014/4/22,16.82,16.89,16.97,16.71,4792003
2014/4/23,16.85,16.51,16.92,16.48,13047629
2014/4/24,16.5,16.39,16.6,16.3,6100369
2014/4/25,16.36,16.39,16.5,16.36,4065058
2014/4/28,16.43,16.11,16.49,16,7946311
2014/4/29,16.14,16.46,16.57,16.03,5603378
2014/4/30,16.4,16.47,16.51,16.26,5764225
2014/5/5,16.4,16.28,16.42,16.07,4828584
2014/5/6,16.3,16.35,16.49,16.29,4443334
2014/5/7,16.32,16.3,16.39,16.18,2611023
2014/5/8,16.25,16.32,16.48,16.09,4996186
2014/5/9,16.29,15.97,16.3,15.94,10447811
2014/5/12,16.08,16.5,16.58,16.02,10384296
2014/5/13,16.59,16.7,16.79,16.4,10088300
2014/5/14,16.68,16.57,16.8,16.57,5331082
2014/5/15,16.5,16.21,16.55,16.19,4630510
2014/5/16,16.26,16.51,16.55,16.18,5421483
2014/5/19,16.38,16.28,16.42,16.16,3972833
2014/5/20,16.3,16.34,16.46,16.29,2447300
2014/5/21,16.2,16.41,16.45,16.15,4214660
2014/5/22,16.4,16.38,16.59,16.3,4301480
2014/5/23,16.3,16.49,16.51,16.23,3428773
2014/5/26,16.63,16.59,16.77,16.52,4762209
2014/5/27,16.59,16.79,16.87,16.55,7953407
2014/5/28,16.77,16.95,17,16.62,6752044
2014/5/29,16.95,16.91,17.06,16.84,5842815
2014/5/30,16.85,16.85,16.94,16.69,6497817
2014/6/3,16.74,16.72,16.95,16.71,4670514
2014/6/4,16.69,16.45,16.72,16.39,4887170
2014/6/5,16.49,16.79,16.85,16.49,6410890
2014/6/6,16.78,16.56,16.79,16.43,4432572
2014/6/9,16.52,16.49,16.79,16.48,5929662
2014/6/10,16.5,16.68,16.69,16.4,7095281
2014/6/11,16.58,16.73,16.76,16.56,5035661
2014/6/12,16.65,16.55,16.67,16.49,5703136
2014/6/13,16.55,16.66,16.77,16.5,10770384
2014/6/16,16.01,15.99,16.16,15.94,12975446
2014/6/17,16,15.98,16.1,15.89,7572204
2014/6/18,16,15.48,16.04,15.42,11854047
2014/6/19,15.5,14.88,15.56,14.8,20683709
2014/6/20,14.66,14.96,15.03,14.66,7807812
2014/6/23,14.97,14.87,15.08,14.85,7652576
2014/6/24,14.87,14.97,15.01,14.85,5236841
2014/6/25,15,14.98,15.02,14.88,5842237
2014/6/26,15.01,15.03,15.05,14.94,5402648
2014/6/27,15.01,14.96,15.05,14.88,6479889
2014/6/30,14.98,15.16,15.25,14.91,9890180
2014/7/1,15.17,15.15,15.21,15.07,4792525
2014/7/2,15.2,15.08,15.21,14.95,9242034
2014/7/3,15.07,15.14,15.23,14.96,6649081
2014/7/4,15.14,15.07,15.19,15.05,4018284
2014/7/7,15.06,14.83,15.07,14.8,8208417
2014/7/8,14.85,14.75,14.87,14.7,6968602
2014/7/9,14.74,14.33,14.74,14.31,15921109
2014/7/10,14.33,14.39,14.47,14.2,11489657
2014/7/11,14.39,14.5,14.58,14.3,8397313
2014/7/14,14.49,14.51,14.55,14.29,13025255
2014/7/15,14.48,14.79,14.86,14.44,17298747
2014/7/16,14.85,14.79,14.9,14.72,10888265
2014/7/17,14.89,14.59,14.89,14.52,5522121
2014/7/18,14.65,14.7,14.83,14.53,11398427
2014/7/21,14.78,15.23,15.31,14.66,18254553
2014/7/22,15.21,15.34,15.55,15.1,19967180
2014/7/23,15.3,15.45,15.72,15.16,22464910
2014/7/24,15.49,16.32,16.49,15.49,38768933
2014/7/25,16.31,16.4,16.66,16.08,19053266
2014/7/28,16.52,16.57,16.85,16.47,27642818
2014/7/29,16.58,16.59,16.86,16.44,13691866
2014/7/30,16.56,16.7,16.78,16.45,11744652
2014/7/31,16.81,17.38,17.4,16.65,17527849
2014/8/1,17.25,16.98,17.31,16.97,17646451
2014/8/4,16.9,17.18,17.27,16.9,12934051
2014/8/5,17.18,16.92,17.18,16.74,10473227
2014/8/6,16.8,16.53,16.82,16.39,19924409
2014/8/7,16.51,16.53,16.68,16.45,13210578
2014/8/8,16.53,16.74,16.94,16.47,14181005
2014/8/11,16.75,16.9,16.97,16.71,16445543
2014/8/12,16.84,17.15,17.27,16.83,17355858
2014/8/13,17.15,16.88,17.21,16.54,15161203
2014/8/14,16.78,16.85,17.06,16.61,11012335
2014/8/15,16.87,17.05,17.15,16.76,10146777
2014/8/18,17.05,16.98,17.14,16.8,15686239
2014/8/19,16.96,16.92,17.01,16.82,11072326
2014/8/20,16.91,16.89,17.02,16.81,10155862
2014/8/21,16.89,16.79,16.94,16.54,10346906
2014/8/22,16.78,16.65,16.9,16.5,9264558
2014/8/25,16.57,16.5,16.69,16.43,11455270
2014/8/26,16.35,16.08,16.38,16,23228929
2014/8/27,16.08,16.16,16.21,16.02,7887026
2014/8/28,16.28,16.27,16.43,16.1,12897655
2014/8/29,16.36,16.67,16.7,16.25,9407359
2014/9/1,16.55,16.58,16.67,16.44,9590927
2014/9/2,16.57,16.81,16.88,16.57,11189861
2014/9/3,16.84,16.95,17.02,16.82,13553374
2014/9/4,16.94,17.22,17.29,16.85,15071651
2014/9/5,17.3,17.59,17.97,17.3,22813129
2014/9/9,17.72,17.55,17.92,17.51,12815276
2014/9/10,17.5,17.59,17.72,17.36,13536287
2014/9/11,17.56,17.64,17.82,17.3,13089408
2014/9/12,17.56,17.68,18.09,17.43,15904886
2014/9/15,17.54,17.33,17.65,17.2,16636184
2014/9/16,17.36,17,17.45,16.95,13154750
2014/9/17,17.1,17.1,17.2,16.96,10644672
2014/9/18,17.02,17.1,17.23,17.01,8630893
2014/9/19,17.1,17.24,17.35,17.06,7320787
2014/9/22,17.24,16.99,17.26,16.85,11556198
2014/9/23,16.91,17.16,17.3,16.75,7720232
2014/9/24,17.06,17.32,17.4,16.9,12231433
2014/9/25,17.39,17.2,17.48,17.16,11251065
2014/9/26,17.2,17.04,17.28,16.88,8136005
2014/9/29,17.14,17.12,17.2,16.9,10333850
2014/9/30,17.18,17.31,17.36,17.11,8997402
2014/10/8,17.4,17.95,18.07,17.33,21977731
2014/10/9,17.95,17.95,18.1,17.68,13235402
2014/10/10,17.8,17.88,18.1,17.71,11450114
2014/10/13,17.76,17.61,17.8,17.3,10283380
2014/10/14,17.55,17.71,17.82,17.45,11747210
2014/10/15,17.56,18.42,18.6,17.55,31636496
2014/10/16,18.37,18.55,19.1,18.16,25275858
2014/10/17,18.28,18.12,18.39,17.8,19999669
2014/10/20,18.21,17.97,18.55,17.85,17652582
2014/10/21,17.99,17.62,18.04,17.44,19537411
2014/10/22,17.63,17.28,17.78,17.26,12989977
2014/10/23,17.25,17,17.45,16.8,14844463
2014/10/24,17,16.82,17.1,16.72,11722583
2014/10/27,16.8,16.95,17.1,16.77,6334237
2014/10/28,17,17.37,17.54,16.96,20398841
2014/10/29,17.43,17.45,17.51,17.23,10823483
2014/10/30,17.52,17.18,17.58,17.14,14982078
2014/10/31,17.38,17.83,17.86,17.22,24548308
2014/11/3,17.83,17.99,18.16,17.7,21492947
2014/11/4,17.8,17.87,18,17.8,10776597
2014/11/5,17.91,18.22,18.35,17.91,18561096
2014/11/6,18.21,17.94,18.25,17.72,15359333
2014/11/7,17.94,17.96,18.12,17.78,11641638
2014/11/10,18.2,18.32,18.57,18,18878404
2014/11/11,18.32,17.94,18.56,17.61,25910267
2014/11/12,17.85,17.91,18.04,17.71,10564989
2014/11/13,17.88,17.33,17.89,17.25,16933145
2014/11/14,17.4,17.73,17.85,17.4,13773049
2014/11/17,17.73,17.7,17.88,17.49,12120631
2014/11/18,17.7,17.8,17.83,17.49,9098543
2014/11/19,17.79,17.62,17.79,17.5,7040267
2014/11/20,17.5,17.57,17.65,17.42,4828565
2014/11/21,17.6,17.63,17.66,17.39,9692327
2014/11/24,17.9,18.03,18.08,17.76,30345101
2014/11/25,18.04,18.24,18.4,17.87,19529422
2014/11/26,18.25,18.16,18.4,17.9,15439727
2014/11/27,18.18,18.27,18.43,18.01,16941925
2014/11/28,18.28,17.82,18.28,17.57,36195378
2014/12/1,17.76,17.97,18.36,17.6,26662905
2014/12/2,17.93,18.11,18.24,17.79,28587568
2014/12/3,18.09,18.4,19.08,18.07,53847801
2014/12/4,18.48,19.26,19.5,18.48,71256937
2014/12/5,19.56,19.32,19.9,18.78,56200904
2014/12/8,19.2,20.27,20.37,19.02,52009627
2014/12/9,20.22,20.19,21.88,19.95,74453578
2014/12/10,20.46,21.04,21.18,20.2,49458156
2014/12/11,21.09,20.58,21.65,20.25,38874956
2014/12/12,20.43,20.17,20.85,19.79,28159574
2014/12/15,20.16,20.72,20.89,19.96,29604538
2014/12/16,20.68,20.64,21.15,20.18,28890253
2014/12/17,20.6,20.05,20.6,19.8,36774159
2014/12/18,20.12,20.21,20.28,19.75,26177693
2014/12/19,20.2,21.9,22.08,19.95,60212208
2014/12/22,22,22.37,23.1,21.36,62960998
2014/12/23,22.08,22.04,23,21.31,32763117
2014/12/24,22,21.64,22.37,21.11,31013186
2014/12/25,21.7,22.48,23.1,21.56,39793157
2014/12/26,22.47,22.82,23.1,22.35,34183102
2014/12/29,22.86,22.52,23.68,22.35,39167882
2014/12/30,22.65,21.42,22.65,21.18,35084589
2014/12/31,21.32,21.78,21.88,20.97,37606897
2015/1/5,21.78,23.54,23.77,21.77,66525325
2015/1/6,23.36,23.93,24.85,23.11,54623316
2015/1/7,24.22,24.06,25.24,23.6,60773408
2015/1/8,24.41,24.28,24.8,23.56,43377810
2015/1/9,24,23.64,24.79,23.3,56760827
2015/1/12,23.21,24.38,24.55,22.98,44545211
2015/1/13,24.5,24.64,24.99,24.15,30700409
2015/1/14,24.56,23.59,24.76,23.25,29347031
2015/1/15,23.54,23.52,23.58,22.95,30589367
2015/1/16,23.66,24.16,24.25,23.48,28153745
2015/1/19,23.07,21.74,23.5,21.74,65965977
2015/1/20,22.02,22.41,22.99,21.75,41713492
2015/1/21,22.4,22.78,22.95,22.12,47555992
2015/1/22,22.88,22.74,22.93,22.41,31951426
2015/1/23,22.75,22.91,23.57,22.7,34131297
2015/1/26,22.94,22.61,22.99,21.9,42866699
2015/1/27,22.54,22.1,22.7,21.65,35411243
2015/1/28,21.94,22.26,22.3,21.5,44979997
2015/1/29,21.84,22,22.18,21.75,17409655
2015/1/30,22.06,21.72,22.22,21.66,16898084
2015/2/2,21.43,21.1,21.64,21.05,20648042
2015/2/3,21.19,21.9,22.05,21.19,23677966
2015/2/4,21.95,21.41,22.3,21.35,21385469
2015/2/5,21.74,21.13,21.85,20.97,24883225
2015/2/6,21.11,20.34,21.23,20.1,29324520
2015/2/9,20.28,20.52,20.67,20.2,14163735
2015/2/10,20.55,20.97,21.16,20.46,17578893
2015/2/11,21.12,20.82,21.16,20.75,11321726
2015/2/12,20.85,21.43,21.45,20.76,15739292
2015/2/13,21.43,21.61,22.08,21.36,25536376
2015/2/16,21.62,21.66,21.85,21.37,17283203
2015/2/17,21.71,21.52,21.8,21.47,15752904
2015/2/25,21.6,21.15,21.6,21.04,19876411
2015/2/26,21.14,21.52,21.53,21.02,22396565
2015/2/27,21.53,21.88,22.03,21.53,22910259
2015/3/2,22.29,22.88,23,21.93,42529369
2015/3/3,22.69,22.31,23.23,22.29,35955263
2015/3/4,22.4,22.46,22.53,22.11,25330902
2015/3/5,22.37,22.03,22.37,21.78,23946787
2015/3/6,22.04,22.4,22.69,21.89,23137676
2015/3/9,22.35,22.37,22.5,21.9,24460517
2015/3/10,22.32,22.44,22.75,22.32,19014874
2015/3/11,22.4,22.97,23.04,22.35,32678250
2015/3/12,23.01,22.81,23.14,22.6,21342786
2015/3/13,22.78,22.42,23,22.3,21049214
2015/3/16,22.5,22.82,22.83,22.4,32477471
2015/3/17,22.38,22.35,22.38,21.88,73781616
2015/3/18,22.3,22.85,22.9,22.2,58481718
2015/3/19,22.95,23.1,23.16,22.67,50333970
2015/3/20,23.2,23.04,23.45,22.81,48479485
2015/3/23,23.14,23.07,23.2,22.7,60295727
2015/3/24,23.06,22.54,23.06,22.4,64467116
2015/3/25,22.44,22.48,22.7,22.29,44329518
2015/3/26,22.4,22.83,22.92,22.14,48104301
2015/3/27,22.92,22.49,22.97,22.3,42684503
2015/3/30,22.55,23.92,24.05,22.4,98931679
2015/3/31,23.8,24.12,24.59,23.61,83381169
2015/4/1,24,24.17,24.42,23.87,47629118
2015/4/2,24.2,24.13,24.49,23.8,46425110
2015/4/3,24.05,24.34,24.37,23.8,49258313
2015/4/7,24.45,25.23,25.45,24.44,60691635
2015/4/8,25.4,24.67,25.43,24.12,57255463
2015/4/9,24.6,24.04,24.6,23.49,45747651
2015/4/10,23.24,24.22,24.32,23.02,71113926
2015/4/13,24.17,25.15,25.31,23.8,73617468
2015/4/14,25,25.45,25.69,24.82,63909285
2015/4/15,25.42,25.68,26.2,24.86,54193774
2015/4/16,25.5,26.32,26.55,25.13,43358710
2015/4/17,26.41,26.32,26.67,25.83,57333392
2015/4/20,26.23,25.24,26.23,25.1,53423932
2015/4/21,25.2,25.87,25.89,25.1,32640010
2015/4/22,25.92,26.27,26.43,25.7,36091640
2015/4/23,26.32,26.78,27.07,26.07,42270299
2015/4/24,26.13,26.4,26.83,25.8,37954545
2015/4/27,26.36,26.67,27,26.35,36742791
2015/4/28,26.35,25.11,26.5,24.81,44225162
2015/4/29,25.11,25.06,25.47,24.9,25266435
2015/4/30,25.11,24.75,25.32,24.69,29477245
2015/5/4,24.8,25.72,25.82,24.71,30707026
2015/5/5,25.72,24.69,25.74,24.32,24639623
2015/5/6,25.15,23.98,25.15,23.82,26633649
2015/5/7,23.92,23.87,24.15,23.8,17878485
2015/5/8,23.8,24.15,24.2,23.73,18555849
2015/5/11,24.22,24.56,24.68,23.92,30799400
2015/5/12,24.6,24.67,24.81,24.35,24148654
2015/5/13,24.45,24.98,25.76,24.38,41664604
2015/5/14,24.98,24.72,25.1,24.69,20122183
2015/5/15,24.72,23.99,24.72,23.83,24332818
2015/5/18,23.85,24.43,24.58,23.37,28410669
2015/5/19,24.31,24.66,24.92,24.18,28774752
2015/5/20,24.88,24.55,25.15,24.5,27892434
2015/5/21,24.6,24.72,24.85,24.24,25089899
2015/5/22,24.91,25.72,25.75,24.82,38240113
2015/5/25,25.88,27.81,28.24,25.85,56002967
2015/5/26,27.83,28.17,28.27,27.3,44819511
2015/5/27,28.17,28.81,29.99,27.44,41699174
2015/5/28,28.8,26.2,28.95,26.15,33692048
2015/5/29,26.19,26.95,27.75,24.83,38835412
2015/6/1,27.01,28.17,28.44,26.5,38086849
2015/6/2,28.18,28.37,28.8,27.76,31185115
2015/6/3,28.38,28.53,29.38,27.64,28424907
2015/6/4,28.54,29.13,29.16,26.42,36064398
2015/6/5,29.38,29.2,29.75,28.3,37664700
2015/6/8,29.05,28.76,29.05,27.11,35272315
2015/6/9,28.4,28.21,28.74,27.98,20852926
2015/6/10,27.84,28.2,28.52,27.61,25880763
2015/6/11,28.02,27.81,28.3,27.15,31870224
2015/6/12,27.85,27.82,28.2,27.58,38701177
2015/6/15,27.95,27.34,28.31,27.21,31505753
2015/6/16,27,26.4,27,25.8,34493406
2015/6/17,26.4,27.19,27.38,25.99,24467877
2015/6/18,27,26.39,27.72,26.21,23693639
2015/6/19,25.83,25.27,27.25,25.21,26105169
2015/6/23,25.32,25.38,25.88,23.18,28332471
2015/6/24,25.49,26.63,26.72,25.01,31796067
2015/6/25,27.05,25.37,27.13,25.2,27626370
2015/6/26,24.9,22.83,25.12,22.83,29800873
2015/6/29,23.57,22.71,24.3,20.6,34528813
2015/6/30,22.96,24.18,24.35,22.25,30772552
2015/7/1,23.69,22.88,24.69,22.76,27652651
2015/7/2,23.1,21.55,23.2,20.88,29416799
2015/7/3,21.55,21.32,22.25,19.5,34354774
2015/7/6,23.45,21.39,23.45,20,36664323
2015/7/7,20.9,20.5,21.28,19.58,46994853
2015/7/8,18.45,18.45,18.8,18.45,39712917
2015/7/9,18.45,20.3,20.3,16.9,54254627
2015/7/10,20.71,22.33,22.33,20.01,64135590
2015/7/13,22.2,22.97,24.09,21.47,51610185
2015/7/14,22.06,20.96,22.6,20.71,51645542
2015/7/15,20.49,18.86,20.88,18.86,30152553
2015/7/16,18.86,19.79,20.3,18.86,24708343
2015/7/17,19.84,20.63,20.78,19.41,28720139
2015/7/20,20.55,20.51,21.17,20.09,27186812
2015/7/21,20.2,20.79,20.96,20.01,23894397
2015/7/22,20.75,21.21,21.3,20.35,31612262
2015/7/23,21.28,21.63,21.77,21,28223712
2015/7/24,21.42,21.94,22.72,21.31,52595324
2015/7/27,21.45,19.75,22,19.75,34985402
2015/7/28,19.21,19.98,20.27,18.5,44293751
2015/7/29,20.1,20.69,20.77,19.58,21518390
2015/7/30,20.62,20.01,20.75,19.87,26007067
2015/7/31,19.81,20.57,20.7,19.71,25868991
2015/8/3,20.3,21.75,21.77,20.17,36062863
2015/8/4,21.79,22.14,22.21,21.01,26265154
2015/8/5,21.98,22.01,22.67,21.8,28650034
2015/8/6,21.52,21.81,22.48,21.42,21472119
2015/8/7,21.85,22.33,22.54,21.85,17892810
2015/8/10,22.81,23.21,23.36,22.38,25967372
2015/8/11,23.18,22.84,23.3,22.71,18622844
2015/8/12,22.8,22.11,23.04,21.92,21631251
2015/8/13,21.88,22.36,22.38,21.52,19653451
2015/8/14,22.58,22.13,22.6,21.95,19266195
2015/8/17,22.13,22.47,22.48,21.7,21560004
2015/8/18,22.51,20.44,22.99,20.22,28504786
2015/8/19,20.32,21.47,21.57,19.7,24323740
2015/8/20,21.1,20.41,21.11,20.31,18718603
2015/8/21,20.38,19.34,20.64,19.12,19813558
2015/8/24,18.65,17.43,18.65,17.41,28816444
2015/8/25,16.5,15.74,17.39,15.69,34202627
2015/8/26,16.2,16.29,17.23,15.73,23326811
2015/8/27,16.79,17.43,17.49,16.3,20581861
2015/8/28,17.7,18.33,18.47,17.44,23173965
2015/8/31,18,18.59,18.64,17.26,21380157
2015/9/1,18.05,18.85,19,17.5,36042559
2015/9/2,17.8,19.05,19.3,17.51,30300360
2015/9/7,18.9,18.13,19.57,18.1,17369620
2015/9/8,18.03,18.89,18.92,17.89,11560872
2015/9/9,18.95,19.13,19.33,18.8,16185370
2015/9/10,18.9,18.51,18.9,18.32,9179969
2015/9/11,18.51,18.18,18.68,18.02,7506989
2015/9/14,18.28,18.28,18.51,17.28,15023730
2015/9/15,17.9,17.68,18,17.13,7912760
2015/9/16,17.58,18.86,19.18,17.16,9575627
2015/9/17,18.5,17.93,18.95,17.89,11487437
2015/9/18,18.09,17.81,18.21,17.38,7392476
2015/9/21,17.69,17.84,18.04,17.4,11670934
2015/9/22,17.85,17.76,18.02,17.55,10526072
2015/9/23,17.51,17,17.6,16.88,13227762
2015/9/24,17.1,16.92,17.28,16.9,6976070
2015/9/25,16.93,16.32,17.13,16.21,11436221
2015/9/28,16.46,16.45,16.5,16.11,9145713
2015/9/29,16.14,16.07,16.28,15.58,14022869
2015/9/30,16.06,15.95,16.15,15.83,7903882
2015/10/8,16.5,16.57,16.72,16.3,17017866
2015/10/9,16.58,16.48,16.6,16.35,18077650
2015/10/12,16.62,17.49,17.54,16.56,48404600
2015/10/13,17.3,17.76,17.78,17.25,27045510
2015/10/14,17.6,17.36,17.76,17.25,18529434
2015/10/15,17.3,17.71,17.75,17.18,22418545
2015/10/16,17.82,17.84,18.1,17.49,18780422
2015/10/19,17.92,17.95,18.15,17.66,17861197
2015/10/20,18,18.12,18.21,17.75,15612730
2015/10/21,18.15,17.04,18.2,17,20502260
2015/10/22,17,17.35,17.45,16.9,11250621
2015/10/23,17.6,18.44,18.98,17.52,31870486
2015/10/26,18.65,18.53,19.19,18.19,32838390
2015/10/27,18.18,18.82,19.15,17.73,24699383
2015/10/28,18.73,18.82,19.42,18.57,20376860
2015/10/29,18.93,18.75,18.97,18.28,10450592
2015/10/30,18.79,18.51,18.92,18.17,6584618
2015/11/2,18.14,17.8,18.47,17.79,12998372
2015/11/3,17.83,18.03,18.05,17.62,8391500
2015/11/4,17.95,19.01,19.11,17.9,17960515
2015/11/5,19.01,19.01,19.01,19.01,0
2015/11/6,19.01,19.01,19.01,19.01,0
2015/11/9,19.01,19.01,19.01,19.01,0
2015/11/10,19.01,19.01,19.01,19.01,0
2015/11/11,19.01,19.01,19.01,19.01,0
2015/11/12,19.01,19.01,19.01,19.01,0
2015/11/13,19.01,19.01,19.01,19.01,0
2015/11/16,19.01,19.01,19.01,19.01,0
2015/11/17,20.8,18.93,20.8,18.72,50277781
2015/11/18,19.09,18.67,19.09,18.28,23612796
2015/11/19,18.74,19,19.06,18.4,16820396
2015/11/20,19.01,18.63,19.01,18.57,14930208
2015/11/23,18.6,18.33,18.6,18.29,13105055
2015/11/24,18.31,18.52,18.55,18.17,8919740
2015/11/25,18.44,18.4,18.57,18.2,11197871
2015/11/26,18.44,18.69,18.75,18.36,15513707
2015/11/27,18.58,17.36,18.58,17.22,17329279
2015/11/30,17.29,17.12,17.46,16.63,13539452
2015/12/1,17.12,17.15,17.33,16.9,10567265
2015/12/2,17.16,18,18.08,17.09,15276554
2015/12/3,18.02,18.2,18.24,17.82,8843063
2015/12/4,18,17.83,18.04,17.64,9866158
2015/12/7,17.8,17.84,17.9,17.61,7718017
2015/12/8,17.79,17.43,17.9,17.22,11436645
2015/12/9,17.35,17.4,17.58,17.19,7034115
2015/12/10,17.38,17.68,17.78,17.19,8226458
2015/12/11,17.7,17.34,17.7,17.22,5839866
2015/12/14,17.11,17.58,17.75,17.03,8064013
2015/12/15,17.54,17.98,18.11,17.46,15347345
