,601166.SH,601166.SH,601166.SH,601166.SH,601166.SH
,兴业银行,兴业银行,兴业银行,兴业银行,兴业银行
date,open,close,high,low,volume
2014/1/2,10.08,9.98,10.09,9.93,72789232
2014/1/3,9.92,9.73,9.94,9.71,77898480
2014/1/6,9.76,9.66,9.79,9.53,88880972
2014/1/7,9.61,9.62,9.71,9.53,43191298
2014/1/8,9.64,9.69,9.77,9.6,52183116
2014/1/9,9.69,9.73,9.88,9.65,63526501
2014/1/10,9.73,9.75,9.82,9.64,51809991
2014/1/13,9.76,9.72,9.8,9.69,42658276
2014/1/14,9.71,9.76,9.82,9.68,46028968
2014/1/15,9.76,9.63,9.77,9.58,47500673
2014/1/16,9.65,9.51,9.65,9.5,89681205
2014/1/17,9.49,9.31,9.5,9.3,63774251
2014/1/20,9.28,9.21,9.36,9.13,54767092
2014/1/21,9.22,9.29,9.37,9.22,39795626
2014/1/22,9.32,9.56,9.63,9.29,75891856
2014/1/23,9.54,9.41,9.55,9.38,55814379
2014/1/24,9.37,9.39,9.48,9.32,70026283
2014/1/27,9.32,9.22,9.36,9.2,69871638
2014/1/28,9.26,9.42,9.43,9.24,52755732
2014/1/29,9.45,9.5,9.56,9.4,59249276
2014/1/30,9.47,9.35,9.47,9.33,43287412
2014/2/7,9.32,9.35,9.35,9.25,42620973
2014/2/10,9.39,9.48,9.53,9.38,64325232
2014/2/11,9.48,9.77,9.94,9.41,148629178
2014/2/12,9.74,9.72,9.91,9.7,84295648
2014/2/13,9.67,9.96,10.12,9.65,179768070
2014/2/14,9.91,9.88,9.96,9.81,74267411
2014/2/17,9.93,9.78,9.98,9.68,110363537
2014/2/18,9.75,9.49,9.76,9.46,107602764
2014/2/19,9.48,9.77,9.83,9.45,160991915
2014/2/20,9.72,9.55,9.88,9.53,116384466
2014/2/21,9.55,9.47,9.59,9.4,76178785
2014/2/24,9.37,9.12,9.38,9.09,144446598
2014/2/25,9.13,9,9.22,8.96,92604981
2014/2/26,9,9.08,9.14,8.97,69679793
2014/2/27,9.12,9.17,9.24,8.99,99810859
2014/2/28,9.12,9.12,9.18,9.02,63035311
2014/3/3,9.11,9.07,9.11,9.03,60057157
2014/3/4,9.04,9.16,9.2,8.99,74130358
2014/3/5,9.14,9.05,9.18,9.03,46201040
2014/3/6,9.03,9.11,9.17,8.99,72154129
2014/3/7,9.08,9.03,9.18,9.02,76364712
2014/3/10,8.98,8.65,8.98,8.61,130034053
2014/3/11,8.66,8.65,8.78,8.6,68571395
2014/3/12,8.65,8.87,8.94,8.63,97332031
2014/3/13,8.96,8.96,9.14,8.9,99381667
2014/3/14,8.91,8.93,8.98,8.81,65629097
2014/3/17,9.05,8.98,9.08,8.92,45101037
2014/3/18,9,8.9,9.01,8.88,42484191
2014/3/19,8.86,8.83,8.87,8.72,55908169
2014/3/20,8.82,8.89,9.08,8.79,100697587
2014/3/21,8.88,9.48,9.58,8.85,247149398
2014/3/24,9.53,9.58,9.74,9.41,190922357
2014/3/25,9.56,9.39,9.62,9.34,120525915
2014/3/26,9.41,9.37,9.48,9.32,51386068
2014/3/27,9.36,9.47,9.67,9.3,117855728
2014/3/28,9.44,9.58,9.71,9.41,115018810
2014/3/31,9.6,9.52,9.66,9.38,85561572
2014/4/1,9.34,9.38,9.45,9.28,111118616
2014/4/2,9.38,9.49,9.57,9.34,83313596
2014/4/3,9.55,9.38,9.58,9.32,80428477
2014/4/4,9.31,9.58,9.59,9.3,89127260
2014/4/8,9.66,10.35,10.5,9.66,436417248
2014/4/9,10.3,10.29,10.36,10.2,174643811
2014/4/10,10.3,10.32,10.54,10.13,219530087
2014/4/11,10.24,10.41,10.49,10.17,169345888
2014/4/14,10.38,10.29,10.44,10.2,87386790
2014/4/15,10.23,9.98,10.25,9.97,143295181
2014/4/16,9.94,10.03,10.12,9.89,91479459
2014/4/17,10.15,10.02,10.19,9.98,80813066
2014/4/18,9.95,10.08,10.09,9.86,71340498
2014/4/21,10.02,9.9,10.21,9.9,89519331
2014/4/22,9.89,10.23,10.26,9.86,136756345
2014/4/23,10.18,10.26,10.46,10.14,156705694
2014/4/24,10.28,10.22,10.44,10.21,77904758
2014/4/25,10.24,10.22,10.45,10.17,84649824
2014/4/28,10.2,9.97,10.28,9.93,100447943
2014/4/29,10.03,10.13,10.19,10.01,76059148
2014/4/30,10.15,10.17,10.27,10.12,62112310
2014/5/5,10.15,10.02,10.16,9.91,82299238
2014/5/6,10,9.96,10.09,9.93,46358334
2014/5/7,9.96,9.81,9.97,9.8,66763711
2014/5/8,9.81,9.83,10.02,9.78,63086253
2014/5/9,9.86,9.87,9.92,9.82,47527838
2014/5/12,9.95,10.02,10.09,9.86,88635043
2014/5/13,10.02,9.98,10.04,9.94,42630970
2014/5/14,10.01,10.01,10.1,9.95,42604278
2014/5/15,10,9.97,10.06,9.96,47056329
2014/5/16,9.96,9.97,10.06,9.94,53629652
2014/5/19,9.91,9.69,9.91,9.63,108901642
2014/5/20,9.74,9.67,9.77,9.61,46415071
2014/5/21,9.65,9.78,9.8,9.58,43261381
2014/5/22,9.75,9.79,9.97,9.72,61185638
2014/5/23,9.79,9.88,9.88,9.76,40657918
2014/5/26,9.97,9.89,9.98,9.82,39424155
2014/5/27,9.88,9.82,9.9,9.78,36066411
2014/5/28,9.8,9.94,9.96,9.78,51831751
2014/5/29,9.93,9.86,10.03,9.86,50497289
2014/5/30,9.88,9.83,9.9,9.81,44148763
2014/6/3,9.84,9.8,9.94,9.79,41737071
2014/6/4,9.81,9.72,9.83,9.67,44376303
2014/6/5,9.71,9.85,9.86,9.69,30709189
2014/6/6,9.86,9.73,9.86,9.68,41183192
2014/6/9,9.7,9.79,9.92,9.66,51377721
2014/6/10,9.84,9.94,9.95,9.82,64114154
2014/6/11,9.9,9.9,9.95,9.85,42929038
2014/6/12,9.91,9.88,9.96,9.88,53441079
2014/6/13,10.02,10.11,10.21,9.92,153630203
2014/6/16,10.09,10.27,10.34,10.06,166084293
2014/6/17,10.22,10.12,10.23,10.08,70997056
2014/6/18,10.12,10.04,10.13,10.01,49897339
2014/6/19,10.06,9.87,10.09,9.83,64090028
2014/6/20,9.87,9.97,9.98,9.85,42764100
2014/6/23,9.97,9.9,10,9.88,45831442
2014/6/24,9.92,9.93,9.98,9.87,39205135
2014/6/25,9.94,9.86,9.94,9.82,46465442
2014/6/26,9.87,9.93,9.95,9.87,31118619
2014/6/27,9.93,9.94,9.97,9.91,36957770
2014/6/30,9.97,10.03,10.08,9.93,43663378
2014/7/1,10.09,10.01,10.11,9.98,29642506
2014/7/2,10.01,10.06,10.08,9.98,30401068
2014/7/3,10.06,10.05,10.08,10,49805005
2014/7/4,10.04,10.02,10.06,9.99,37162201
2014/7/7,10.01,10.03,10.06,9.97,34660992
2014/7/8,10.01,9.98,10.02,9.92,47264188
2014/7/9,9.96,9.82,9.97,9.79,69143159
2014/7/10,9.82,9.8,9.85,9.77,42992425
2014/7/11,9.79,9.83,9.87,9.79,41389974
2014/7/14,9.86,9.85,9.87,9.8,58002326
2014/7/15,9.85,9.93,9.97,9.83,69888437
2014/7/16,9.9,9.91,9.94,9.87,73518033
2014/7/17,9.91,9.87,9.92,9.83,48496880
2014/7/18,9.43,9.51,9.56,9.43,87789264
2014/7/21,9.52,9.48,9.54,9.45,40228811
2014/7/22,9.46,9.67,9.79,9.44,129920565
2014/7/23,9.69,9.71,9.82,9.66,81650491
2014/7/24,9.75,10.24,10.34,9.75,286461616
2014/7/25,10.27,10.33,10.4,10.17,136834642
2014/7/28,10.38,10.91,11,10.38,288438336
2014/7/29,10.97,10.95,11.07,10.85,179011284
2014/7/30,11.07,10.92,11.22,10.85,149717075
2014/7/31,10.89,11.07,11.08,10.81,105598019
2014/8/1,11.05,10.92,11.23,10.91,155797386
2014/8/4,10.95,11.1,11.18,10.84,175787341
2014/8/5,11.11,10.87,11.16,10.81,160637489
