,600887.SH,600887.SH,600887.SH,600887.SH,600887.SH
,伊利股份,伊利股份,伊利股份,伊利股份,伊利股份
date,open,close,high,low,volume
2014/1/2,38.7,36.93,38.7,36.67,33271355
2014/1/3,36.75,37.01,37.54,36.75,15956634
2014/1/6,37.03,36.92,37.08,35.85,14036534
2014/1/7,36.5,37.49,37.62,36.45,11712885
2014/1/8,37.6,39,39.19,37.5,19106305
2014/1/9,38.7,37.51,39.1,36.5,15872623
2014/1/10,36.9,39.01,40,36.83,31097908
2014/1/13,39.1,38.45,39.83,37.9,18653091
2014/1/14,38.45,38.74,39.71,38.34,13936333
2014/1/15,38.61,38.99,39.47,38.54,12662964
2014/1/16,38.89,38.91,39.25,38.78,11265894
2014/1/17,38.9,37.58,39.34,37.36,13053949
2014/1/20,37.35,36.75,38.15,36.2,12502929
2014/1/21,36.75,36.5,37.39,36.18,9185804
2014/1/22,36.61,37.5,37.61,36.25,18505463
2014/1/23,39.09,38.78,40.08,38.5,29893288
2014/1/24,38.78,38.54,38.79,38.16,12540136
2014/1/27,38.37,37.32,38.37,36.8,16159775
2014/1/28,37.65,37.18,37.72,36.69,12472341
2014/1/29,38.18,36.25,38.28,35.8,26387752
2014/1/30,36.25,35.45,36.26,35,19855658
2014/2/7,35.35,36.65,36.75,35.16,13940266
2014/2/10,36.67,37.75,37.92,36.63,17988653
2014/2/11,37.75,38.05,38.86,37.74,19914760
2014/2/12,38.05,37.46,38.1,37.05,13055373
2014/2/13,37.49,37.07,37.8,37,14688928
2014/2/14,37.01,36.99,37.47,36.59,11993619
2014/2/17,37.4,37,37.49,36.29,18548550
2014/2/18,36.99,36.53,36.99,36.05,21015082
2014/2/19,36.45,36.41,36.56,36.01,14008457
2014/2/20,36.4,37.01,37.49,36.4,18782118
2014/2/21,37.14,36.6,37.69,36.45,15812615
2014/2/24,36.3,35.64,36.3,35.4,15945204
2014/2/25,35.9,34.71,36.4,34.56,20434600
2014/2/26,34.51,33.97,34.71,33,21095146
2014/2/27,34.15,33.41,34.52,33.3,13344857
2014/2/28,33.32,35.12,35.31,33.32,18041679
2014/3/3,35.12,35.75,36.46,34.97,18719405
2014/3/4,35.75,34.71,35.87,34.66,11920901
2014/3/5,34.99,34.48,35.1,33.95,12982637
2014/3/6,34.2,33.99,34.5,33.8,11946922
2014/3/7,33.9,34.85,35.12,33.9,16049343
2014/3/10,34.78,36.11,37.1,34.36,35485418
2014/3/11,36.2,36.37,37.63,36.2,25491606
2014/3/12,36.2,36.32,37.3,36.02,12488249
2014/3/13,36.44,37.87,38.23,36.44,26777950
2014/3/14,37.59,37.54,38.24,37.3,15679349
2014/3/17,38.17,37.26,38.2,36.7,13697701
2014/3/18,37.2,37.6,38.47,36.72,17393908
2014/3/19,37.5,35.92,37.5,35.85,19417735
2014/3/20,35.9,35.33,36.2,35.11,17419890
2014/3/21,35.16,36.44,36.75,34.86,18112474
2014/3/24,36.62,35.75,36.81,35.55,14387820
2014/3/25,35.81,35.97,36.38,35.63,7667640
2014/3/26,36.1,36.18,36.63,35.85,6984441
2014/3/27,36.27,35.26,36.29,35.18,10375133
2014/3/28,35.47,35.03,35.48,34.77,7675596
2014/3/31,35,35.83,36.28,34.98,11049772
2014/4/1,35.82,36.82,36.89,35.47,12875659
2014/4/2,36.8,36.24,36.93,35.94,7521115
2014/4/3,36.5,36,36.87,35.87,9096045
2014/4/4,36,36.89,36.9,35.71,10643849
2014/4/8,36.76,38.96,39.24,36.7,35194931
2014/4/9,38.9,38.74,39.21,38.4,15801714
2014/4/10,38.89,39.22,39.48,38.12,19507499
2014/4/11,39.48,39.53,40.98,39.48,29912371
2014/4/14,39.4,39.76,40.56,38.98,14318184
2014/4/15,39.41,38.45,39.6,38.45,11084773
2014/4/16,38.2,38.48,38.7,38.12,7051551
2014/4/17,38.59,37.81,38.96,37.37,10830798
2014/4/18,37.5,37.8,37.95,37.23,6978276
2014/4/21,37.32,36.8,38,36.78,12350982
2014/4/22,36.79,36.34,37.2,36,14671701
2014/4/23,36.25,36.47,36.7,36,10018736
2014/4/24,36.46,36.58,37.04,36.45,10950954
2014/4/25,36.8,35.27,37.03,35.1,15274324
2014/4/28,35.28,34.39,35.6,34.2,16291101
2014/4/29,34.2,35.5,35.55,34.2,13265581
2014/4/30,38.1,37.1,39.05,36.9,46122734
2014/5/5,37.41,37.66,38.01,37.02,16562007
2014/5/6,37.71,37.67,37.99,37.18,13643596
2014/5/7,37.51,36.49,37.53,36.45,12201311
2014/5/8,36.39,36.17,36.79,35.81,12320052
2014/5/9,36.25,35.95,36.25,35.47,13328446
2014/5/12,36.2,36.37,36.51,35.55,11893050
2014/5/13,36.35,36.86,37.25,36.3,13790381
2014/5/14,37,36.22,37,36.1,7675770
2014/5/15,36.25,35.69,36.36,35.49,9631374
2014/5/16,35.69,35.47,35.7,35,10516920
2014/5/19,35.3,35,35.49,34.55,14353347
2014/5/20,35.11,34.83,35.49,34.71,9115863
2014/5/21,34.71,35.04,35.11,34.4,8933368
2014/5/22,35,34.67,35.75,34.61,15953628
2014/5/23,34.56,35.08,35.18,34.53,6710291
2014/5/26,35.28,35.35,35.48,34.95,9642395
2014/5/27,35.3,34.8,35.39,34.75,12692482
2014/5/28,34.75,34.69,34.86,33.9,19729494
2014/5/29,34.68,34.38,34.9,34.18,14519514
2014/5/30,34.49,33.95,34.55,33.8,17477166
2014/6/3,33.8,31.32,33.8,31.22,72056364
2014/6/4,31.55,32.05,32.18,31.54,30324351
2014/6/5,32.1,32.71,32.75,31.8,25943801
2014/6/6,32.78,31.95,32.98,31.24,34778231
2014/6/9,31.79,31.99,32.36,31.51,15361584
2014/6/10,32.06,31.99,32.21,31.31,18229870
2014/6/11,32,32.42,32.46,31.83,17949078
2014/6/12,32.49,33.15,33.32,32.49,23943731
2014/6/13,33.25,33.27,33.52,32.75,14013569
2014/6/16,33.35,33.15,33.35,32.77,18439541
2014/6/17,33,32.73,33,32.57,11445601
2014/6/18,32.7,32.44,32.95,32.33,9228527
2014/6/19,32.55,31.84,32.79,31.6,11882196
2014/6/20,31.88,31.87,31.99,31.21,13917892
2014/6/23,31.89,31.56,31.98,31.39,10161796
2014/6/24,31.58,31.8,32.09,31.37,11120259
2014/6/25,32,32.42,32.54,31.83,11552010
2014/6/26,32.5,33.22,33.36,32.46,15786657
2014/6/27,33.15,33.31,33.64,32.9,14665757
2014/6/30,33.31,33.12,33.93,33.06,13274340
2014/7/1,33.05,33.15,33.64,32.77,12582813
2014/7/2,33.1,32.18,33.1,31.95,20730109
2014/7/3,32.01,32.2,32.61,31.9,14042335
2014/7/4,32.58,33.3,33.7,32.31,25279996
2014/7/7,33.41,33.48,33.95,33.17,18857337
2014/7/8,33.31,33.86,34.07,33.04,17320453
2014/7/9,33.83,33.2,34.13,32.9,17236210
2014/7/10,33.4,32.25,33.57,31.78,26104591
2014/7/11,32.25,32.3,32.7,31.92,13310711
2014/7/14,32.34,32.75,32.78,32.1,12382923
2014/7/15,32.8,33.91,34,32.75,23049395
2014/7/16,22.25,21.9,22.39,21.66,18470502
2014/7/17,21.7,21.75,21.8,21.34,14851220
2014/7/18,21.55,22.33,22.75,21.5,35328648
2014/7/21,22.48,23.35,23.46,22.39,50791210
2014/7/22,23.05,23.26,23.59,23.01,28180927
2014/7/23,23.3,23.23,23.64,23.08,20552617
2014/7/24,23.4,23.71,23.88,23.31,35793623
2014/7/25,23.79,23.68,23.91,23.45,21352634
2014/7/28,24,24.15,24.54,23.85,39052354
2014/7/29,24.18,24.53,24.55,23.73,48715240
2014/7/30,24.5,25.28,25.52,24.36,58194370
2014/7/31,26.98,26.54,27.2,25.65,73882240
2014/8/1,26.55,26.5,26.78,26.15,33929183
2014/8/4,26.64,26.88,26.93,26.06,30801339
2014/8/5,26.92,27,27.47,26.77,32434680
2014/8/6,26.75,26.74,26.98,26.5,18742525
2014/8/7,26.67,25.9,26.69,25.75,37449830
2014/8/8,25.9,26.4,26.62,25.9,22200151
2014/8/11,26.64,26.64,26.93,26.51,19717785
2014/8/12,26.78,26.66,26.78,26.26,13162543
2014/8/13,26.67,26.38,27.02,26.2,26458893
2014/8/14,26.24,26.39,26.64,26.1,21744020
2014/8/15,26.39,26.55,26.63,26.18,14747590
2014/8/18,26.55,26.33,26.7,26.15,19053091
2014/8/19,26.28,26.47,26.57,26.16,19267847
