,601668.SH,601668.SH,601668.SH,601668.SH,601668.SH
,中国建筑,中国建筑,中国建筑,中国建筑,中国建筑
date,open,close,high,low,volume
2014/1/2,3.13,3.13,3.15,3.1,87537822
2014/1/3,3.12,3.08,3.13,3.07,79867389
2014/1/6,3.07,3.03,3.08,3.01,102969760
2014/1/7,3.04,3.04,3.05,3.02,51116584
2014/1/8,3.04,3.01,3.05,3,67981960
2014/1/9,3.02,3.01,3.04,3,54938795
2014/1/10,3.01,2.98,3.02,2.97,75875814
2014/1/13,2.99,2.95,3.01,2.93,75048833
2014/1/14,2.96,2.96,2.97,2.94,96434844
2014/1/15,2.96,2.98,2.98,2.94,71541534
2014/1/16,2.97,3.01,3.03,2.96,76622048
2014/1/17,3.01,2.98,3.02,2.96,51893090
2014/1/20,2.98,2.98,2.98,2.96,42007303
2014/1/21,2.98,3,3.01,2.97,32935555
2014/1/22,3,3.07,3.08,2.99,97950702
2014/1/23,3.05,3.02,3.06,2.99,103151292
2014/1/24,3.01,3.04,3.07,3,71985253
2014/1/27,3.01,3,3.02,2.99,65211733
2014/1/28,3,3.03,3.03,3,41457365
2014/1/29,3.03,3.03,3.04,3.01,43643507
2014/1/30,3.02,2.99,3.03,2.98,39190409
2014/2/7,2.97,2.99,2.99,2.95,52877564
2014/2/10,2.99,3.02,3.03,2.98,83539960
2014/2/11,3.01,3.03,3.04,2.99,116753554
2014/2/12,3.03,3.02,3.03,3.01,58468642
2014/2/13,3.03,2.99,3.04,2.99,107496487
2014/2/14,3,3,3.01,2.97,82857306
2014/2/17,3.01,3.01,3.02,2.99,86981672
2014/2/18,3.01,2.98,3.01,2.97,69395748
2014/2/19,2.99,3.01,3.02,2.97,85536147
2014/2/20,3.02,3.02,3.05,3,130288908
2014/2/21,3.01,2.99,3.03,2.98,65254478
2014/2/24,2.97,2.9,2.97,2.86,203429767
2014/2/25,2.9,2.84,2.9,2.82,156821910
2014/2/26,2.83,2.8,2.84,2.78,125997123
2014/2/27,2.81,2.75,2.81,2.74,181693306
2014/2/28,2.77,2.82,2.85,2.75,137374359
2014/3/3,2.82,2.83,2.85,2.79,92021441
2014/3/4,2.82,2.83,2.86,2.81,87960362
2014/3/5,2.82,2.79,2.83,2.77,67414571
2014/3/6,2.79,2.82,2.84,2.75,90340467
2014/3/7,2.81,2.78,2.83,2.77,77200488
2014/3/10,2.77,2.72,2.78,2.71,98097135
2014/3/11,2.72,2.72,2.75,2.71,65490232
2014/3/12,2.72,2.78,2.79,2.71,106701033
2014/3/13,2.77,2.78,2.8,2.76,99603744
2014/3/14,2.76,2.75,2.77,2.72,63727927
2014/3/17,2.76,2.78,2.8,2.75,89036515
2014/3/18,2.78,2.76,2.78,2.74,60697291
2014/3/19,2.74,2.75,2.75,2.72,55569407
2014/3/20,2.74,2.73,2.78,2.72,61844860
2014/3/21,2.73,2.82,2.83,2.72,165832216
2014/3/24,2.86,2.91,2.93,2.84,265854524
2014/3/25,2.91,2.97,2.99,2.89,280096832
2014/3/26,2.97,2.93,2.98,2.92,84453630
2014/3/27,2.93,2.91,2.96,2.89,111065364
2014/3/28,2.91,2.93,2.95,2.9,92879081
2014/3/31,2.94,2.91,2.94,2.89,79417307
2014/4/1,2.9,2.9,2.92,2.89,64627078
2014/4/2,2.91,2.97,2.99,2.9,172352432
2014/4/3,2.98,2.9,2.99,2.89,174753136
2014/4/4,2.89,2.92,2.92,2.88,66772589
2014/4/8,2.91,2.95,2.97,2.9,153018281
2014/4/9,2.95,2.95,2.98,2.94,117017075
2014/4/10,2.95,3.06,3.08,2.92,346895968
2014/4/11,3.15,3.08,3.22,3.07,356611120
2014/4/14,3.05,3.05,3.08,3.03,121260661
2014/4/15,3.05,2.99,3.06,2.99,125973548
2014/4/16,3,3,3.02,2.98,75987071
2014/4/17,3.01,2.97,3.01,2.96,77106714
2014/4/18,2.97,2.95,2.97,2.93,79476005
2014/4/21,2.93,2.89,2.96,2.89,92367171
2014/4/22,2.9,2.92,2.92,2.87,83390888
2014/4/23,2.91,2.92,2.93,2.9,58772398
2014/4/24,2.95,2.96,2.99,2.92,122559678
2014/4/25,2.96,2.95,3,2.94,94813661
2014/4/28,2.96,2.94,2.97,2.91,90600020
2014/4/29,2.94,2.97,2.97,2.92,62847450
2014/4/30,2.98,3,3.02,2.97,97737807
2014/5/5,2.98,2.97,2.99,2.93,85794976
2014/5/6,2.96,2.98,2.98,2.94,67541238
2014/5/7,2.96,2.94,2.97,2.93,53989616
2014/5/8,2.93,2.94,2.97,2.93,46109600
2014/5/9,2.94,2.94,2.95,2.92,44156270
2014/5/12,2.95,2.98,2.99,2.93,101137970
2014/5/13,2.97,2.97,2.98,2.95,57401325
2014/5/14,2.97,2.99,2.99,2.96,66810467
2014/5/15,2.97,2.97,2.99,2.95,61982626
2014/5/16,2.96,2.97,2.97,2.94,42503054
2014/5/19,2.96,2.92,2.97,2.92,50401256
2014/5/20,2.94,2.94,2.95,2.93,37489336
2014/5/21,2.93,2.95,2.95,2.92,38643851
2014/5/22,2.95,2.95,2.98,2.94,65740418
2014/5/23,2.96,2.99,3,2.95,76643071
2014/5/26,3,2.99,3.01,2.97,52639183
2014/5/27,3,2.99,3.01,2.98,59409665
2014/5/28,2.99,3,3,2.98,49001204
2014/5/29,3,3.01,3.04,3,89609537
2014/5/30,3.01,3.02,3.03,3,40422406
2014/6/3,3.03,3.02,3.04,3,40454594
2014/6/4,3.02,2.96,3.02,2.95,63589748
2014/6/5,2.96,2.98,2.99,2.95,47482050
2014/6/6,2.98,2.96,2.98,2.94,38704539
2014/6/9,2.95,2.96,2.99,2.94,49055160
2014/6/10,2.97,2.98,2.98,2.95,56740303
2014/6/11,2.97,2.98,2.98,2.96,43924604
2014/6/12,2.97,2.95,2.98,2.94,60383383
2014/6/13,2.95,2.98,2.98,2.94,65187514
2014/6/16,2.97,3,3,2.97,94381193
2014/6/17,2.87,2.85,2.88,2.84,81692383
2014/6/18,2.85,2.85,2.86,2.83,53327383
2014/6/19,2.85,2.82,2.85,2.8,55672155
2014/6/20,2.81,2.82,2.83,2.8,48930820
2014/6/23,2.82,2.78,2.82,2.78,56529088
2014/6/24,2.79,2.8,2.8,2.78,38669001
2014/6/25,2.79,2.8,2.8,2.77,33893157
2014/6/26,2.8,2.81,2.81,2.79,30620314
2014/6/27,2.8,2.81,2.82,2.79,42684960
2014/6/30,2.81,2.82,2.82,2.8,62596766
2014/7/1,2.82,2.81,2.82,2.79,45095639
2014/7/2,2.8,2.81,2.81,2.79,71103679
2014/7/3,2.81,2.81,2.82,2.79,64604036
2014/7/4,2.81,2.83,2.84,2.81,68086288
2014/7/7,2.83,2.84,2.85,2.82,69953153
2014/7/8,2.84,2.84,2.84,2.82,51077808
2014/7/9,2.83,2.8,2.83,2.8,51579126
2014/7/10,2.8,2.81,2.82,2.8,38777140
2014/7/11,2.81,2.82,2.84,2.8,74166322
2014/7/14,2.83,2.85,2.86,2.81,94918029
2014/7/15,2.85,2.87,2.88,2.83,123945934
2014/7/16,2.87,2.98,3.04,2.86,404537072
2014/7/17,2.95,2.9,2.96,2.88,191500055
2014/7/18,2.9,2.99,3.03,2.88,320927344
2014/7/21,2.99,3,3.01,2.96,129085164
2014/7/22,2.99,2.99,3.03,2.98,110062994
2014/7/23,2.99,3.04,3.06,2.99,190345656
2014/7/24,3.05,3.08,3.13,3.05,194490513
2014/7/25,3.1,3.12,3.12,3.07,101628630
2014/7/28,3.14,3.19,3.19,3.13,268521120
2014/7/29,3.19,3.18,3.2,3.14,155460400
2014/7/30,3.16,3.13,3.18,3.11,158121988
2014/7/31,3.11,3.14,3.15,3.1,101694108
2014/8/1,3.13,3.15,3.19,3.13,140337954
2014/8/4,3.15,3.21,3.21,3.14,137009696
2014/8/5,3.21,3.19,3.22,3.17,111471835
2014/8/6,3.18,3.18,3.19,3.14,114318345
2014/8/7,3.17,3.14,3.18,3.13,85374451
2014/8/8,3.13,3.13,3.15,3.11,102618276
2014/8/11,3.13,3.16,3.17,3.13,77348100
2014/8/12,3.16,3.15,3.16,3.13,65657124
2014/8/13,3.14,3.15,3.17,3.12,74959643
2014/8/14,3.15,3.13,3.15,3.12,80458513
2014/8/15,3.16,3.18,3.19,3.15,164640347
2014/8/18,3.18,3.2,3.24,3.18,128205965
2014/8/19,3.21,3.19,3.21,3.17,89576040
2014/8/20,3.18,3.2,3.21,3.17,79256535
2014/8/21,3.2,3.18,3.2,3.15,76145233
2014/8/22,3.17,3.19,3.19,3.16,50282676
2014/8/25,3.2,3.18,3.22,3.17,125255177
2014/8/26,3.18,3.17,3.19,3.16,71512440
2014/8/27,3.17,3.15,3.18,3.14,54082685
2014/8/28,3.15,3.11,3.15,3.1,86682511
2014/8/29,3.12,3.14,3.16,3.11,66950242
2014/9/1,3.14,3.16,3.17,3.14,57382952
2014/9/2,3.17,3.19,3.19,3.13,125858877
2014/9/3,3.19,3.21,3.23,3.18,157179814
2014/9/4,3.22,3.28,3.29,3.21,207867654
2014/9/5,3.28,3.31,3.31,3.27,143893382
2014/9/9,3.32,3.36,3.4,3.32,197001836
2014/9/10,3.35,3.32,3.36,3.31,109897986
2014/9/11,3.33,3.33,3.39,3.31,118075349
2014/9/12,3.34,3.39,3.42,3.32,158583344
2014/9/15,3.37,3.36,3.37,3.33,143426480
2014/9/16,3.36,3.36,3.49,3.32,318344736
2014/9/17,3.37,3.39,3.45,3.36,209768500
2014/9/18,3.38,3.34,3.38,3.32,144151430
2014/9/19,3.34,3.35,3.36,3.32,121152926
2014/9/22,3.34,3.27,3.34,3.26,148495971
2014/9/23,3.28,3.29,3.3,3.27,106407821
2014/9/24,3.28,3.38,3.4,3.27,271607792
2014/9/25,3.41,3.4,3.45,3.38,192760605
2014/9/26,3.38,3.39,3.41,3.35,103487980
2014/9/29,3.39,3.37,3.42,3.35,147488791
2014/9/30,3.38,3.39,3.4,3.37,110046160
2014/10/8,3.44,3.44,3.45,3.41,159363802
2014/10/9,3.44,3.5,3.51,3.42,247543999
2014/10/10,3.48,3.51,3.53,3.46,239859653
2014/10/13,3.49,3.46,3.51,3.45,148408782
2014/10/14,3.46,3.46,3.52,3.44,163414046
2014/10/15,3.46,3.44,3.48,3.42,128079582
2014/10/16,3.44,3.45,3.54,3.42,260854523
2014/10/17,3.45,3.39,3.45,3.37,172018139
2014/10/20,3.4,3.39,3.42,3.37,93473320
2014/10/21,3.39,3.34,3.39,3.34,106020111
2014/10/22,3.34,3.32,3.36,3.31,88850287
2014/10/23,3.31,3.29,3.34,3.27,109036054
2014/10/24,3.29,3.26,3.3,3.25,93165245
2014/10/27,3.25,3.19,3.25,3.18,134816688
2014/10/28,3.21,3.3,3.3,3.19,169496424
2014/10/29,3.3,3.38,3.42,3.28,228216447
2014/10/30,3.38,3.47,3.49,3.36,399716608
2014/10/31,3.49,3.48,3.51,3.42,329338736
2014/11/3,3.49,3.59,3.63,3.49,471347456
2014/11/4,3.57,3.87,3.95,3.57,989480800
2014/11/5,3.89,3.73,3.92,3.72,523014896
2014/11/6,3.72,3.81,3.85,3.65,462256000
2014/11/7,3.81,3.67,3.87,3.64,478203280
2014/11/10,3.78,4.04,4.04,3.7,1293941648
2014/11/11,4.05,4.03,4.11,3.96,965343696
2014/11/12,3.99,4.01,4.02,3.92,533213008
2014/11/13,4,3.97,4.06,3.92,443508416
2014/11/14,3.94,4,4.01,3.89,335793600
2014/11/17,4.06,3.93,4.07,3.92,362516480
2014/11/18,3.91,3.81,3.92,3.8,376734080
