,600028.SH,600028.SH,600028.SH,600028.SH,600028.SH
,中国石化,中国石化,中国石化,中国石化,中国石化
date,open,close,high,low,volume
2014/1/2,4.46,4.46,4.49,4.44,34716699
2014/1/3,4.43,4.38,4.44,4.35,38122924
2014/1/6,4.36,4.48,4.49,4.3,65410498
2014/1/7,4.43,4.4,4.45,4.39,44528748
2014/1/8,4.41,4.39,4.46,4.36,34388978
2014/1/9,4.4,4.4,4.44,4.36,23632146
2014/1/10,4.39,4.42,4.45,4.39,27551966
2014/1/13,4.43,4.48,4.49,4.39,44062053
2014/1/14,4.46,4.59,4.6,4.45,70843769
2014/1/15,4.58,4.65,4.66,4.54,46615533
2014/1/16,4.64,4.62,4.65,4.6,21152927
2014/1/17,4.61,4.66,4.68,4.59,49037516
2014/1/20,4.66,4.62,4.66,4.5,29532573
2014/1/21,4.58,4.61,4.65,4.56,20238643
2014/1/22,4.6,4.65,4.66,4.59,37143152
2014/1/23,4.61,4.58,4.62,4.54,37685572
2014/1/24,4.57,4.6,4.61,4.55,28579969
2014/1/27,4.57,4.52,4.57,4.49,33444632
2014/1/28,4.54,4.49,4.56,4.48,23967045
2014/1/29,4.49,4.49,4.52,4.47,29583164
2014/1/30,4.49,4.46,4.5,4.45,14031345
2014/2/7,4.44,4.47,4.48,4.4,16970613
2014/2/10,4.47,4.52,4.52,4.46,47180281
2014/2/11,4.51,4.54,4.57,4.48,53933480
2014/2/12,4.54,4.52,4.58,4.5,34119023
2014/2/13,4.53,4.5,4.54,4.5,28434569
2014/2/14,4.5,4.53,4.54,4.49,19865903
2014/2/17,4.54,4.57,4.58,4.51,53158948
2014/2/18,4.56,4.53,4.59,4.51,55271300
2014/2/19,4.52,4.7,4.85,4.5,147369873
2014/2/20,5.05,5.17,5.17,5.05,185242557
2014/2/21,5.1,5.01,5.15,4.8,256515738
2014/2/24,4.91,4.82,4.97,4.69,128373998
2014/2/25,4.8,4.89,5.02,4.74,125441712
2014/2/26,4.97,5.07,5.08,4.92,122661001
2014/2/27,5.11,5.41,5.58,4.99,352995984
2014/2/28,5.3,5.37,5.47,5.26,175352141
2014/3/3,5.34,5.38,5.54,5.31,216635065
2014/3/4,5.38,5.33,5.47,5.24,112207270
2014/3/5,5.32,5.1,5.33,5.09,124387014
2014/3/6,5.12,5.22,5.3,5.02,114113251
2014/3/7,5.26,5.35,5.57,5.24,201532164
2014/3/10,5.3,5.2,5.35,5.15,115462900
2014/3/11,5.18,5.22,5.28,5.14,65268134
2014/3/12,5.16,4.97,5.19,4.82,138048950
2014/3/13,4.97,4.98,5.06,4.93,74086871
2014/3/14,4.94,4.97,5.06,4.91,50573484
2014/3/17,5.1,5.07,5.14,4.99,57622968
2014/3/18,5.07,5.02,5.1,5,45506370
2014/3/19,5.02,5.05,5.09,5,46367977
2014/3/20,5.04,5.07,5.19,5,88102430
2014/3/21,5.02,5.24,5.28,5.01,114838577
2014/3/24,5.19,5.22,5.24,5.1,85468205
2014/3/25,5.26,5.17,5.3,5.13,65329930
2014/3/26,5.2,5.15,5.2,5.09,44445669
2014/3/27,5.11,5.04,5.14,5.03,54118908
2014/3/28,5.07,5.02,5.08,4.99,60217069
2014/3/31,5.03,5.03,5.09,5,50777153
2014/4/1,5.03,5.04,5.05,5,36243324
2014/4/2,5.07,5.09,5.12,5.04,50375360
2014/4/3,5.09,5.07,5.12,4.98,96443745
2014/4/4,5.01,5.04,5.04,4.99,45096297
2014/4/8,5.02,5.14,5.25,5.02,179521499
2014/4/9,5.16,5.31,5.34,5.14,139505322
2014/4/10,5.33,5.36,5.42,5.27,120429500
2014/4/11,5.36,5.32,5.47,5.29,91303149
2014/4/14,5.32,5.44,5.44,5.28,79394542
2014/4/15,5.41,5.29,5.44,5.28,76548512
2014/4/16,5.28,5.26,5.34,5.2,52937852
2014/4/17,5.24,5.24,5.28,5.2,51814932
2014/4/18,5.23,5.23,5.25,5.16,38687595
2014/4/21,5.19,5.13,5.28,5.13,43474088
2014/4/22,5.11,5.23,5.26,5.1,77728754
2014/4/23,5.21,5.22,5.31,5.19,49151777
2014/4/24,5.2,5.19,5.25,5.17,23845552
