,601390.SH,601390.SH,601390.SH,601390.SH,601390.SH
,中国中铁,中国中铁,中国中铁,中国中铁,中国中铁
date,open,close,high,low,volume
2014/1/2,2.68,2.67,2.69,2.66,17100561
2014/1/3,2.66,2.62,2.67,2.61,19892572
2014/1/6,2.58,2.51,2.58,2.48,55131399
2014/1/7,2.48,2.49,2.53,2.48,17160655
2014/1/8,2.5,2.44,2.52,2.41,43261993
2014/1/9,2.44,2.44,2.45,2.42,26510997
2014/1/10,2.44,2.38,2.44,2.36,35527338
2014/1/13,2.37,2.38,2.41,2.35,24832554
2014/1/14,2.38,2.4,2.4,2.36,27956813
2014/1/15,2.4,2.4,2.4,2.37,18638974
2014/1/16,2.4,2.4,2.42,2.38,16797739
2014/1/17,2.39,2.38,2.4,2.37,18211192
2014/1/20,2.38,2.38,2.39,2.36,13338666
2014/1/21,2.38,2.42,2.42,2.38,16615889
2014/1/22,2.42,2.48,2.48,2.41,27341406
2014/1/23,2.48,2.45,2.48,2.45,15533830
2014/1/24,2.45,2.46,2.47,2.44,19128181
2014/1/27,2.44,2.41,2.45,2.4,22666619
2014/1/28,2.41,2.44,2.44,2.39,20834157
2014/1/29,2.44,2.44,2.45,2.43,14853583
2014/1/30,2.43,2.41,2.44,2.38,19549481
2014/2/7,2.4,2.41,2.41,2.37,19991994
2014/2/10,2.42,2.46,2.48,2.4,45761217
2014/2/11,2.47,2.47,2.48,2.44,36041532
2014/2/12,2.47,2.48,2.48,2.45,20841423
2014/2/13,2.47,2.45,2.48,2.45,23220262
2014/2/14,2.45,2.5,2.53,2.45,48446764
2014/2/17,2.51,2.51,2.52,2.48,30442791
2014/2/18,2.5,2.46,2.51,2.45,28620701
2014/2/19,2.46,2.48,2.49,2.44,34630928
2014/2/20,2.49,2.49,2.52,2.47,42749791
2014/2/21,2.49,2.47,2.49,2.45,33133951
2014/2/24,2.46,2.41,2.46,2.4,30893526
2014/2/25,2.41,2.37,2.42,2.36,33971999
2014/2/26,2.36,2.35,2.37,2.32,35730943
2014/2/27,2.36,2.37,2.39,2.34,29361775
2014/2/28,2.36,2.38,2.39,2.34,19160039
2014/3/3,2.37,2.4,2.42,2.36,27623086
2014/3/4,2.39,2.39,2.4,2.37,19392528
2014/3/5,2.4,2.38,2.41,2.37,17510770
2014/3/6,2.38,2.39,2.4,2.35,17700879
2014/3/7,2.39,2.38,2.4,2.37,18751126
2014/3/10,2.37,2.32,2.37,2.31,24787487
2014/3/11,2.31,2.33,2.34,2.31,17667055
2014/3/12,2.32,2.33,2.34,2.31,15609726
2014/3/13,2.33,2.35,2.36,2.32,21086834
2014/3/14,2.34,2.34,2.35,2.33,12619878
2014/3/17,2.34,2.35,2.36,2.33,21779350
2014/3/18,2.36,2.36,2.38,2.35,15793878
2014/3/19,2.37,2.35,2.37,2.33,16222886
2014/3/20,2.35,2.4,2.44,2.35,80066583
2014/3/21,2.39,2.45,2.46,2.38,49412065
2014/3/24,2.45,2.48,2.49,2.44,49702581
2014/3/25,2.48,2.46,2.49,2.46,32963044
2014/3/26,2.47,2.45,2.48,2.44,18220841
2014/3/27,2.44,2.44,2.47,2.42,23132828
2014/3/28,2.44,2.47,2.48,2.43,25696924
2014/3/31,2.48,2.5,2.53,2.46,59664455
2014/4/1,2.5,2.55,2.56,2.49,61328847
2014/4/2,2.55,2.55,2.59,2.53,48017029
2014/4/3,2.62,2.56,2.68,2.55,93579249
2014/4/4,2.54,2.56,2.57,2.53,41696713
2014/4/8,2.55,2.6,2.6,2.54,39156149
2014/4/9,2.63,2.59,2.65,2.59,44765830
2014/4/10,2.6,2.74,2.83,2.58,165490997
2014/4/11,2.74,2.7,2.75,2.67,98413935
2014/4/14,2.69,2.68,2.7,2.66,45612293
2014/4/15,2.67,2.63,2.68,2.62,39566805
2014/4/16,2.61,2.62,2.64,2.6,25489011
2014/4/17,2.62,2.6,2.64,2.6,23358432
2014/4/18,2.59,2.59,2.61,2.57,25475767
2014/4/21,2.57,2.55,2.6,2.54,26450695
2014/4/22,2.54,2.53,2.56,2.51,30362430
2014/4/23,2.52,2.53,2.55,2.52,19310456
2014/4/24,2.53,2.54,2.56,2.52,20362344
2014/4/25,2.54,2.52,2.56,2.5,26462822
2014/4/28,2.52,2.47,2.52,2.47,27982098
2014/4/29,2.47,2.51,2.51,2.46,21135948
2014/4/30,2.5,2.51,2.54,2.5,17086372
