,601899.SH,601899.SH,601899.SH,601899.SH,601899.SH
,紫金矿业,紫金矿业,紫金矿业,紫金矿业,紫金矿业
date,open,close,high,low,volume
2014/1/2,2.3,2.33,2.36,2.28,54957512
2014/1/3,2.33,2.3,2.33,2.29,33051678
2014/1/6,2.3,2.27,2.31,2.25,38442131
2014/1/7,2.26,2.27,2.27,2.25,17938583
2014/1/8,2.26,2.24,2.27,2.23,29600436
2014/1/9,2.23,2.21,2.24,2.21,24297581
2014/1/10,2.21,2.2,2.25,2.2,34123448
2014/1/13,2.21,2.24,2.25,2.21,31824868
2014/1/14,2.24,2.23,2.24,2.21,19570205
2014/1/15,2.22,2.22,2.23,2.2,14610356
2014/1/16,2.21,2.23,2.25,2.2,30922603
2014/1/17,2.22,2.21,2.23,2.2,25751984
2014/1/20,2.21,2.21,2.22,2.2,19599999
2014/1/21,2.21,2.22,2.23,2.2,18583974
2014/1/22,2.21,2.25,2.25,2.21,38418404
2014/1/23,2.23,2.23,2.25,2.22,22797579
2014/1/24,2.24,2.27,2.28,2.23,51598967
2014/1/27,2.25,2.26,2.29,2.23,43650301
2014/1/28,2.24,2.25,2.26,2.23,26386052
2014/1/29,2.25,2.25,2.25,2.24,18035322
2014/1/30,2.25,2.24,2.26,2.23,16953670
2014/2/7,2.22,2.23,2.23,2.19,23159842
2014/2/10,2.23,2.25,2.26,2.22,65431602
2014/2/11,2.26,2.31,2.33,2.25,107034091
2014/2/12,2.3,2.29,2.31,2.28,65575596
2014/2/13,2.31,2.41,2.52,2.3,293942944
2014/2/14,2.4,2.41,2.44,2.37,112764595
2014/2/17,2.46,2.43,2.5,2.42,96207235
2014/2/18,2.44,2.37,2.44,2.36,80299367
2014/2/19,2.37,2.38,2.4,2.35,47940768
2014/2/20,2.37,2.39,2.44,2.36,64230216
2014/2/21,2.39,2.37,2.4,2.35,45616122
2014/2/24,2.37,2.33,2.37,2.3,43592478
2014/2/25,2.34,2.32,2.37,2.3,45735594
2014/2/26,2.32,2.43,2.47,2.32,132850664
2014/2/27,2.4,2.36,2.4,2.34,75141582
2014/2/28,2.36,2.38,2.42,2.34,78420797
2014/3/3,2.39,2.42,2.43,2.38,80274674
2014/3/4,2.44,2.43,2.51,2.42,171535445
2014/3/5,2.4,2.35,2.4,2.32,98944358
2014/3/6,2.34,2.34,2.35,2.31,39425150
2014/3/7,2.36,2.35,2.38,2.33,45937479
2014/3/10,2.32,2.26,2.32,2.25,54835474
2014/3/11,2.26,2.26,2.28,2.24,35558454
2014/3/12,2.26,2.29,2.31,2.26,41159209
2014/3/13,2.33,2.31,2.33,2.29,44403521
2014/3/14,2.31,2.3,2.32,2.28,27428983
2014/3/17,2.31,2.31,2.32,2.29,30168046
2014/3/18,2.29,2.29,2.29,2.26,43060802
2014/3/19,2.27,2.27,2.28,2.26,23499150
2014/3/20,2.25,2.25,2.27,2.24,35815525
